word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,nan,0,[],,meco_para_12
de_0,138.0,1,[258],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,nan,0,[],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,nan,0,[],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,133.0,1,[574],,meco_para_12
el_0,96.0,1,[6],,meco_para_12
propdsito_0,nan,0,[],,meco_para_12
de_2,nan,0,[],,meco_para_12
identificacién_0,nan,0,[],,meco_para_12
oficial_0,nan,0,[],,meco_para_12
Todos_0,nan,0,[],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,nan,0,[],,meco_para_12
requieren_0,nan,0,[],,meco_para_12
patentes_0,61.0,1,[19],,meco_para_12
para_0,nan,0,[],,meco_para_12
vehiculos_0,286.0,4,"[123, 214, 310, 575]",,meco_para_12
como_0,nan,0,[],,meco_para_12
"autos,_0",56.0,1,[3],,meco_para_12
camiones_0,190.0,2,"[186, 187]",,meco_para_12
y_0,nan,0,[],,meco_para_12
motocicletas._0,nan,0,[],,meco_para_12
Su_0,nan,0,[],,meco_para_12
 requerimiento_0,nan,0,[],,meco_para_12
para_1,69.0,1,[20],,meco_para_12
otros_0,286.0,3,"[18, 21, 70]",,meco_para_12
vehiculos_1,229.0,2,"[23, 24]",,meco_para_12
como_1,319.0,1,[309],,meco_para_12
"bicicletas,_0",592.0,8,"[71, 215, 257, 463, 469, 576, 586, 650]",meco_para_12_qa_2 ,meco_para_12
botes_0,109.0,1,[649],meco_para_12_qa_2 ,meco_para_12
o_1,53.0,1,[185],meco_para_12_qa_2 ,meco_para_12
tractores_0,515.0,6,"[29, 30, 31, 32, 50, 554]",meco_para_12_qa_2 ,meco_para_12
puede_0,63.0,1,[14],meco_para_12_qa_2 ,meco_para_12
variar_0,327.0,4,"[44, 196, 379, 623]",meco_para_12_qa_2 ,meco_para_12
por_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,284.0,3,"[62, 162, 249]",meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,94.0,1,[22],,meco_para_12
de_3,73.0,1,[122],,meco_para_12
registro_0,608.0,7,"[168, 169, 392, 578, 580, 581, 583]",,meco_para_12
es_1,55.0,1,[584],,meco_para_12
una_1,605.0,7,"[27, 75, 175, 213, 341, 401, 632]",meco_para_12_qa_3 ,meco_para_12
serie_0,486.0,4,"[184, 317, 602, 637]",meco_para_12_qa_3 ,meco_para_12
de_4,200.0,3,"[77, 82, 540]",meco_para_12_qa_3 ,meco_para_12
letras_0,814.0,10,"[13, 33, 133, 134, 176, 318, 360, 550, 565, 616]",meco_para_12_qa_3 ,meco_para_12
o_2,453.0,5,"[105, 190, 191, 324, 561]",meco_para_12_qa_3 ,meco_para_12
ntmeros_0,292.0,4,"[8, 328, 335, 556]",meco_para_12_qa_3 ,meco_para_12
que_0,516.0,4,"[60, 197, 205, 449]",,meco_para_12
identifican_0,511.0,4,"[55, 57, 61, 113]",,meco_para_12
Unicamente_0,330.0,4,"[65, 117, 161, 163]",,meco_para_12
al_1,67.0,1,[167],,meco_para_12
duefio_0,148.0,1,[68],,meco_para_12
de_5,210.0,2,"[173, 582]",,meco_para_12
un_1,380.0,4,"[170, 255, 579, 624]",,meco_para_12
vehiculo_2,798.0,8,"[74, 128, 216, 218, 223, 256, 315, 464]",,meco_para_12
dentro_0,656.0,8,"[28, 129, 222, 261, 470, 472, 638, 648]",,meco_para_12
de_6,457.0,4,"[2, 91, 92, 646]",,meco_para_12
la__0,1064.0,9,"[12, 98, 132, 135, 229, 268, 536, 551, 552]",,meco_para_12
regidn_0,561.0,7,"[34, 96, 101, 148, 408, 519, 557]",,meco_para_12
del_0,2201.0,6,"[15, 43, 145, 195, 380, 566]",,meco_para_12
registro_1,1260.0,10,"[16, 107, 111, 198, 200, 334, 370, 378, 389, 451]",,meco_para_12
del_1,528.0,6,"[51, 54, 58, 64, 112, 388]",,meco_para_12
vehiculo._3,840.0,7,"[118, 155, 157, 164, 245, 250, 506]",,meco_para_12
En_0,59.0,1,[666],,meco_para_12
algunos_0,284.0,4,"[120, 160, 166, 663]",,meco_para_12
"paises,_1",nan,0,[],,meco_para_12
el_2,104.0,1,[254],,meco_para_12
identificador_1,1169.0,13,"[26, 171, 174, 212, 224, 253, 340, 395, 465, 467, 594, 599, 626]",,meco_para_12
es_2,607.0,7,"[225, 259, 398, 471, 522, 573, 598]",,meco_para_12
Unico_0,908.0,10,"[81, 221, 226, 478, 481, 483, 531, 601, 631, 636]",,meco_para_12
en_1,547.0,5,"[80, 94, 525, 529, 606]",,meco_para_12
todo_0,643.0,7,"[47, 93, 181, 230, 530, 537, 555]",,meco_para_12
el_3,452.0,5,"[11, 42, 48, 104, 560]",,meco_para_12
"pais,_0",631.0,7,"[10, 49, 106, 144, 381, 435, 683]",,meco_para_12
mientras_0,1026.0,12,"[17, 52, 199, 201, 329, 369, 371, 456, 513, 563, 569, 570]",,meco_para_12
"que,_1",1197.0,14,"[0, 108, 156, 204, 206, 243, 247, 333, 390, 457, 461, 504, 505, 507]",,meco_para_12
en_2,nan,0,[],,meco_para_12
"otros,_1",396.0,5,"[66, 119, 154, 209, 246]",,meco_para_12
es_3,137.0,1,[165],,meco_para_12
Unico_1,163.0,2,"[67, 208]",,meco_para_12
dentro_1,380.0,3,"[400, 593, 628]",meco_para_12_qa_0 ,meco_para_12
de_7,287.0,2,"[172, 627]",meco_para_12_qa_0 ,meco_para_12
un_2,436.0,4,"[316, 399, 466, 603]",meco_para_12_qa_0 ,meco_para_12
estado_0,1501.0,15,"[7, 125, 127, 130, 217, 220, 263, 314, 347, 409, 521, 524, 528, 597, 600]",meco_para_12_qa_0 ,meco_para_12
o_3,863.0,9,"[39, 78, 84, 227, 260, 262, 265, 473, 476]",meco_para_12_qa_0 ,meco_para_12
provincia._0,1512.0,17,"[41, 45, 83, 86, 136, 178, 267, 270, 319, 323, 363, 422, 425, 427, 440, 485, 526]",meco_para_12_qa_0 ,meco_para_12
Francia_0,1173.0,14,"[46, 97, 99, 325, 376, 382, 416, 423, 426, 452, 545, 558, 559, 693]",meco_para_12_qa_0 ,meco_para_12
fue_0,1026.0,12,"[53, 110, 140, 337, 383, 450, 488, 489, 495, 496, 567, 568]",meco_para_12_qa_0 ,meco_para_12
el_4,296.0,2,"[238, 338]",meco_para_12_qa_0 ,meco_para_12
primer_0,724.0,9,"[202, 239, 386, 387, 391, 407, 455, 509, 512]",meco_para_12_qa_0 ,meco_para_12
pais_1,846.0,8,"[115, 116, 153, 207, 244, 252, 458, 460]",meco_para_12_qa_0 ,meco_para_12
en_3,138.0,2,"[158, 251]",meco_para_12_qa_0 ,meco_para_12
