word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,73.0,1,[5],,meco_para_7
"tadimi,_0",199.0,2,"[9, 11]",,meco_para_7
sarabin_0,94.0,1,[323],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,98.0,1,[14],,meco_para_7
incelenmesi_0,270.0,3,"[326, 330, 331]",,meco_para_7
ve_0,65.0,1,[327],,meco_para_7
degerlendirilmesidir._0,310.0,4,"[16, 23, 328, 329]",,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,272.0,3,"[17, 18, 32]",,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,68.0,1,[324],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",345.0,3,"[13, 29, 49]",,meco_para_7
daha_0,114.0,2,"[30, 332]",,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,69.0,1,[20],,meco_para_7
orta_0,186.0,3,"[21, 51, 52]",,meco_para_7
 caglarin_0,189.0,3,"[22, 35, 54]",,meco_para_7
sonlarindan_0,67.0,1,[24],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,nan,0,[],,meco_para_7
"Modern,_0",174.0,2,"[47, 335]",,meco_para_7
profesyonel_0,139.0,2,"[19, 333]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,231.0,3,"[55, 56, 76]",,meco_para_7
sarabin_1,67.0,1,[42],meco_para_7_qa_1 ,meco_para_7
algilanan_0,371.0,5,"[25, 26, 27, 325, 336]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",173.0,2,"[48, 84]",meco_para_7_qa_1 ,meco_para_7
