word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,122.0,1,[1786],,meco_para_7
"tadimi,_0",177.0,2,"[1785, 2008]",,meco_para_7
sarabin_0,90.0,1,[9],,meco_para_7
 duyumsal_0,97.0,1,[2827],,meco_para_7
olarak_0,53.0,1,[516],,meco_para_7
incelenmesi_0,514.0,3,"[515, 1754, 2154]",,meco_para_7
ve_0,88.0,1,[1756],,meco_para_7
degerlendirilmesidir._0,508.0,2,"[1097, 1157]",,meco_para_7
Sarap_1,102.0,1,[1096],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,106.0,1,[522],,meco_para_7
sarap_2,109.0,1,[1784],,meco_para_7
Uretimi_0,568.0,4,"[8, 1256, 2007, 2184]",,meco_para_7
kadar_0,88.0,1,[10],,meco_para_7
"antikken,_0",197.0,2,"[2156, 2826]",,meco_para_7
daha_0,97.0,1,[2153],,meco_para_7
bicimsel_0,329.0,4,"[474, 514, 1159, 1990]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,282.0,3,"[1760, 1991, 2750]",,meco_para_7
orta_0,864.0,5,"[1093, 1098, 1099, 1992, 2751]",,meco_para_7
 caglarin_0,1658.0,15,"[80, 81, 82, 552, 581, 584, 656, 1095, 1191, 1192, 1193, 1993, 2752, 2753, 2812]",,meco_para_7
sonlarindan_0,623.0,3,"[523, 1254, 2268]",,meco_para_7
 glnUmUuze_0,1191.0,9,"[706, 707, 1255, 1783, 2006, 2010, 2185, 2267, 2269]",,meco_para_7
yavasca__0,526.0,5,"[1257, 2005, 2351, 2687, 2828]",,meco_para_7
olusmaktadir._0,880.0,9,"[606, 1198, 1753, 2152, 2350, 2398, 2685, 2686, 2748]",,meco_para_7
"Modern,_0",650.0,9,"[11, 48, 49, 468, 607, 622, 1123, 1197, 1813]",,meco_para_7
profesyonel_0,1504.0,15,"[50, 51, 475, 554, 608, 609, 1091, 1160, 1195, 1757, 1758, 1761, 2368, 2721, 2749]",,meco_para_7
sarap_3,513.0,6,"[52, 79, 553, 610, 1092, 2369]",,meco_para_7
—_0,443.0,3,"[52, 1100, 2722]",,meco_para_7
tadimcilari_0,1502.0,12,"[53, 54, 551, 580, 611, 612, 655, 688, 1094, 1100, 2722, 2811]",,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,1006.0,8,"[41, 62, 524, 604, 701, 702, 1253, 2082]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,1260.0,13,"[7, 42, 43, 61, 525, 603, 774, 1782, 2266, 2270, 2271, 2400, 2737]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",1794.0,16,"[6, 15, 19, 20, 44, 45, 60, 527, 605, 708, 2182, 2374, 2399, 2688, 2747, 2829]",meco_para_7_qa_1 ,meco_para_7
