word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",103.0,1,[5],,meco_para_7
sarabin_0,66.0,1,[4],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,682.0,7,"[26, 27, 64, 65, 69, 73, 141]",,meco_para_7
ve_0,64.0,1,[81],,meco_para_7
degerlendirilmesidir._0,64.0,1,[32],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,135.0,1,[10],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,728.0,8,"[68, 70, 72, 74, 75, 76, 101, 140]",,meco_para_7
bicimsel_0,344.0,2,"[28, 79]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,131.0,2,"[33, 83]",,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,97.0,1,[498],,meco_para_7
yavasca__0,63.0,1,[8],,meco_para_7
olusmaktadir._0,397.0,5,"[55, 71, 102, 209, 210]",,meco_para_7
"Modern,_0",335.0,4,"[67, 77, 80, 103]",,meco_para_7
profesyonel_0,105.0,1,[82],,meco_para_7
sarap_3,169.0,2,"[35, 85]",,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,176.0,2,"[496, 497]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,232.0,1,[499],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",370.0,4,"[9, 52, 214, 500]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,503.0,7,"[56, 139, 502, 503, 504, 505, 507]",meco_para_7_qa_1 ,meco_para_7
ve_1,442.0,3,"[63, 78, 175]",meco_para_7_qa_1 ,meco_para_7
 genel__0,438.0,5,"[105, 108, 109, 142, 146]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,416.0,5,"[34, 106, 111, 148, 282]",meco_para_7_qa_1 ,meco_para_7
tarif_0,168.0,2,"[36, 285]",meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,64.0,1,[495],meco_para_7_qa_1 ,meco_para_7
olarak_1,63.0,1,[11],meco_para_7_qa_1 ,meco_para_7
gelisen_0,139.0,1,[501],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,646.0,7,"[24, 53, 54, 57, 60, 211, 506]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,388.0,5,"[61, 134, 136, 174, 176]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,135.0,2,"[29, 104]",meco_para_7_qa_1 ,meco_para_7
Son_0,169.0,2,"[110, 283]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,273.0,2,"[31, 284]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
sarap_4,433.0,5,"[95, 189, 192, 206, 215]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,247.0,3,"[62, 96, 194]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,606.0,7,"[66, 135, 143, 177, 196, 198, 511]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,194.0,3,"[84, 178, 281]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,73.0,1,[37],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",108.0,1,[17],,meco_para_7
arastirmalar_0,nan,0,[],,meco_para_7
insanlarin_0,209.0,2,"[188, 482]",,meco_para_7
daha_1,644.0,7,"[23, 58, 137, 138, 190, 212, 216]",,meco_para_7
pahali_0,428.0,4,"[97, 219, 227, 512]",,meco_para_7
sarabin_2,73.0,1,[510],,meco_para_7
daha_2,110.0,1,[199],,meco_para_7
ucuz_0,344.0,4,"[179, 180, 181, 280]",,meco_para_7
saraba__0,nan,0,[],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,nan,0,[],,meco_para_7
karakteristige_0,784.0,6,"[19, 130, 133, 187, 213, 481]",,meco_para_7
sahip_0,816.0,8,"[2, 20, 131, 191, 193, 207, 217, 218]",,meco_para_7
olmasini_0,279.0,2,"[1, 99]",,meco_para_7
beklediklerini_0,221.0,3,"[144, 195, 327]",,meco_para_7
gostermistir:_0,167.0,2,"[112, 279]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,73.0,1,[39],,meco_para_7
 sarabin_0,nan,0,[],,meco_para_7
gercek_0,338.0,2,"[18, 44]",,meco_para_7
olmayan’_0,169.0,1,[51],,meco_para_7
bir_1,442.0,6,"[3, 162, 168, 169, 202, 260]",,meco_para_7
 sekilde_0,559.0,5,"[163, 203, 250, 486, 509]",,meco_para_7
 pahali_0,736.0,9,"[100, 173, 197, 226, 228, 262, 265, 302, 445]",,meco_para_7
oldugu_0,336.0,2,"[145, 326]",,meco_para_7
"soylendiginde,_0",104.0,1,[278],,meco_para_7
neredeyse_0,nan,0,[],,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,168.0,2,"[40, 41]",,meco_para_7
ayni_0,73.0,1,[287],,meco_para_7
sarap_5,71.0,1,[45],,meco_para_7
onlara__0,243.0,2,"[12, 50]",,meco_para_7
ucuz_1,62.0,1,[259],,meco_para_7
oldugu_sdylendiginden_0,3437.0,22,"[21, 132, 165, 171, 182, 204, 205, 229, 264, 266, 267, 300, 315, 324, 352, 361, 376, 424, 444, 487, 513, 515]",,meco_para_7
daha__0,295.0,3,"[269, 329, 425]",,meco_para_7
lezzetli_0,209.0,2,"[236, 328]",,meco_para_7
oldugunu_0,135.0,1,[275],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,143.0,2,"[15, 43]",,meco_para_7
gosteriyor_0,136.0,2,"[46, 47]",,meco_para_7
ki_0,716.0,5,"[48, 49, 122, 129, 186]",,meco_para_7
tadimcilarin”_0,1848.0,16,"[22, 91, 92, 93, 161, 164, 172, 225, 249, 251, 252, 263, 375, 408, 480, 483]",,meco_para_7
