word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,105.0,1,[2],,meco_para_7
"tadimi,_0",208.0,1,[7],,meco_para_7
sarabin_0,274.0,2,"[29, 244]",,meco_para_7
 duyumsal_0,204.0,2,"[30, 31]",,meco_para_7
olarak_0,135.0,2,"[14, 58]",,meco_para_7
incelenmesi_0,64.0,1,[15],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,548.0,6,"[16, 34, 47, 49, 50, 65]",,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,208.0,1,[273],,meco_para_7
sarap_2,69.0,1,[8],,meco_para_7
Uretimi_0,177.0,2,"[54, 263]",,meco_para_7
kadar_0,190.0,2,"[10, 12]",,meco_para_7
"antikken,_0",282.0,3,"[9, 13, 57]",,meco_para_7
daha_0,65.0,1,[41],,meco_para_7
bicimsel_0,170.0,2,"[59, 60]",,meco_para_7
bir_0,103.0,1,[61],,meco_para_7
metodoloji_0,65.0,1,[35],,meco_para_7
orta_0,204.0,2,"[46, 48]",,meco_para_7
 caglarin_0,96.0,1,[271],,meco_para_7
sonlarindan_0,449.0,5,"[25, 39, 250, 262, 276]",,meco_para_7
 glnUmUuze_0,1017.0,7,"[3, 26, 52, 53, 55, 274, 275]",,meco_para_7
yavasca__0,614.0,4,"[28, 40, 251, 252]",,meco_para_7
olusmaktadir._0,135.0,1,[42],,meco_para_7
"Modern,_0",73.0,1,[255],,meco_para_7
profesyonel_0,343.0,4,"[19, 43, 62, 247]",,meco_para_7
sarap_3,210.0,2,"[44, 284]",,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,206.0,2,"[66, 270]",,meco_para_7
sarabin_1,131.0,2,"[6, 261]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,303.0,3,"[4, 27, 243]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,176.0,1,[277],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",372.0,2,"[56, 278]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,135.0,1,[245],meco_para_7_qa_1 ,meco_para_7
ve_1,471.0,5,"[246, 253, 265, 266, 282]",meco_para_7_qa_1 ,meco_para_7
 genel__0,72.0,1,[283],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,341.0,5,"[20, 256, 257, 267, 268]",meco_para_7_qa_1 ,meco_para_7
tarif_0,102.0,1,[45],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,351.0,2,"[258, 260]",meco_para_7_qa_1 ,meco_para_7
kullanilan_0,134.0,2,"[5, 38]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,95.0,1,[291],meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,72.0,1,[279],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,391.0,4,"[22, 264, 280, 281]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,65.0,1,[21],meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,71.0,1,[1],meco_para_7_qa_0 ,meco_para_7
hem_1,64.0,1,[314],meco_para_7_qa_0 ,meco_para_7
de__0,127.0,2,"[292, 316]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,310.0,3,"[294, 295, 296]",meco_para_7_qa_0 ,meco_para_7
sarap_4,103.0,1,[297],meco_para_7_qa_0 ,meco_para_7
tadimi__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
zorlayan_0,304.0,1,[288],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,405.0,3,"[272, 285, 287]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",105.0,1,[315],,meco_para_7
arastirmalar_0,135.0,2,"[344, 345]",,meco_para_7
insanlarin_0,nan,0,[],,meco_para_7
daha_1,64.0,1,[298],,meco_para_7
pahali_0,nan,0,[],,meco_para_7
sarabin_2,nan,0,[],,meco_para_7
daha_2,nan,0,[],,meco_para_7
ucuz_0,80.0,1,[289],,meco_para_7
saraba__0,nan,0,[],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,101.0,1,[312],,meco_para_7
fazla_0,67.0,1,[313],,meco_para_7
 arzulanan__0,73.0,1,[346],,meco_para_7
karakteristige_0,107.0,1,[326],,meco_para_7
sahip_0,nan,0,[],,meco_para_7
olmasini_0,72.0,1,[299],,meco_para_7
beklediklerini_0,198.0,2,"[318, 334]",,meco_para_7
gostermistir:_0,273.0,1,[319],,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,98.0,1,[400],,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,nan,0,[],,meco_para_7
gercek_0,199.0,3,"[79, 81, 82]",,meco_para_7
olmayan’_0,67.0,1,[343],,meco_para_7
bir_1,241.0,2,"[330, 331]",,meco_para_7
 sekilde_0,nan,0,[],,meco_para_7
 pahali_0,nan,0,[],,meco_para_7
oldugu_0,373.0,4,"[300, 303, 304, 335]",,meco_para_7
"soylendiginde,_0",376.0,4,"[301, 302, 309, 336]",,meco_para_7
neredeyse_0,62.0,1,[310],,meco_para_7
her_0,65.0,1,[398],,meco_para_7
zaman_0,64.0,1,[73],,meco_para_7
ayni_0,158.0,2,"[83, 290]",,meco_para_7
sarap_5,90.0,1,[78],,meco_para_7
onlara__0,74.0,1,[80],,meco_para_7
ucuz_1,69.0,1,[325],,meco_para_7
oldugu_sdylendiginden_0,335.0,4,"[67, 329, 347, 350]",,meco_para_7
daha__0,74.0,1,[317],,meco_para_7
lezzetli_0,176.0,1,[351],,meco_para_7
oldugunu_0,765.0,6,"[307, 308, 320, 332, 333, 337]",,meco_para_7
belirttiler._0,166.0,2,"[399, 401]",,meco_para_7
Baska_0,72.0,1,[71],,meco_para_7
calismalar_0,470.0,5,"[63, 74, 75, 76, 322]",,meco_para_7
gosteriyor_0,506.0,2,"[324, 357]",,meco_para_7
ki_0,nan,0,[],,meco_para_7
tadimcilarin”_0,64.0,1,[327],,meco_para_7
kararlari_0,529.0,6,"[86, 87, 98, 358, 359, 364]",,meco_para_7
cografi_0,553.0,4,"[99, 101, 349, 363]",,meco_para_7
"kéken,_0",105.0,1,[100],,meco_para_7
itibar_0,166.0,2,"[305, 338]",,meco_para_7
veya_0,790.0,5,"[306, 339, 341, 368, 402]",,meco_para_7
diger_0,95.0,1,[340],,meco_para_7
etkenlerin_0,173.0,2,"[70, 77]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,400.0,4,"[104, 321, 342, 377]",meco_para_7_qa_2 ,meco_para_7
etki_0,143.0,2,"[242, 409]",meco_para_7_qa_2 ,meco_para_7
=_0,143.0,2,"[242, 409]",meco_para_7_qa_2 ,meco_para_7
altinda___0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,466.0,5,"[94, 95, 96, 97, 389]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,241.0,3,"[365, 366, 388]",meco_para_7_qa_2 ,meco_para_7
sarap_6,360.0,3,"[348, 360, 362]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,181.0,2,"[352, 385]",meco_para_7_qa_2 ,meco_para_7
bu_0,nan,1,[0],meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,135.0,1,[403],meco_para_7_qa_2 ,meco_para_7
sarabin_3,135.0,1,[403],meco_para_7_qa_2 ,meco_para_7
kor_0,166.0,2,"[69, 70]",meco_para_7_qa_2 ,meco_para_7
tadimini_0,65.0,1,[88],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,144.0,2,"[375, 376]",meco_para_7_qa_2 ,meco_para_7
bu_1,248.0,2,"[93, 406]",meco_para_7_qa_2 ,meco_para_7
 tadimcinin§_0,83.0,1,[151],meco_para_7_qa_2 ,meco_para_7
sarabin_4,666.0,7,"[169, 173, 215, 229, 328, 379, 408]",meco_para_7_qa_2 ,meco_para_7
etiketini_0,897.0,10,"[85, 115, 137, 170, 230, 233, 366, 382, 388, 390]",meco_para_7_qa_2 ,meco_para_7
veya_1,812.0,6,"[102, 114, 126, 172, 361, 383]",meco_para_7_qa_2 ,meco_para_7
 sisenin_0,1004.0,6,"[117, 171, 175, 186, 393, 410]",meco_para_7_qa_2 ,meco_para_7
—_2,378.0,3,"[384, 386, 412]",meco_para_7_qa_2 ,meco_para_7
seklini_0,378.0,3,"[384, 386, 412]",meco_para_7_qa_2 ,meco_para_7
gormemesidir._0,nan,0,[],meco_para_7_qa_3 ,meco_para_7
Kor_1,137.0,2,"[160, 237]",meco_para_7_qa_3 ,meco_para_7
tadim_1,541.0,3,"[219, 236, 405]",meco_para_7_qa_3 ,meco_para_7
 ayrica_0,352.0,5,"[167, 195, 213, 214, 378]",meco_para_7_qa_3 ,meco_para_7
sarabin§_0,980.0,6,"[147, 166, 168, 196, 228, 380]",meco_para_7_qa_3 ,meco_para_7
siyah_0,239.0,2,"[124, 407]",meco_para_7_qa_3 ,meco_para_7
sarap_7,507.0,5,"[84, 110, 152, 174, 232]",meco_para_7_qa_3 ,meco_para_7
 bardaginda__0,1066.0,10,"[113, 116, 136, 138, 182, 185, 199, 200, 201, 391]",meco_para_7_qa_3 ,meco_para_7
