,word_id_orig,TRT,FixCount,Scan_path,Span_word_is_in,text_id,worker_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Sarap_0,,0,[],,meco_para_7,linkPRtBGnmq86L,0,Sarap,1,5,True,0.03542673107890499,NR,
1,"tadimi,_0",,0,[],,meco_para_7,linkPRtBGnmq86L,0,"tadimi,",1,7,True,0.03542673107890499,NR,
2,sarabin_0,70.0,1,[10],,meco_para_7,linkPRtBGnmq86L,1,sarabin,1,7,True,0.03542673107890499,NR,0.08894536213468869
3, duyumsal_0,102.0,1,[9],,meco_para_7,linkPRtBGnmq86L,1, duyumsal,1,9,True,0.03542673107890499,NR,0.12960609911054638
4,olarak_0,,0,[],,meco_para_7,linkPRtBGnmq86L,0,olarak,1,6,True,0.03542673107890499,NR,
5,incelenmesi_0,479.0,4,"[307, 332, 357, 358]",,meco_para_7,linkPRtBGnmq86L,4,incelenmesi,1,11,True,0.03542673107890499,NR,0.6086404066073697
6,ve_0,67.0,1,[334],,meco_para_7,linkPRtBGnmq86L,1,ve,1,2,True,0.03542673107890499,NR,0.08513341804320203
7,degerlendirilmesidir._0,69.0,1,[23],,meco_para_7,linkPRtBGnmq86L,1,degerlendirilmesidir.,1,21,True,0.03542673107890499,NR,0.08767471410419314
8,Sarap_1,308.0,3,"[338, 339, 340]",,meco_para_7,linkPRtBGnmq86L,3,Sarap,2,5,True,0.03542673107890499,NR,0.10283806343906511
9,tadim_0,308.0,3,"[337, 365, 390]",,meco_para_7,linkPRtBGnmq86L,3,tadim,2,5,True,0.03542673107890499,NR,0.10283806343906511
10,pratigi_0,,0,[],,meco_para_7,linkPRtBGnmq86L,0,pratigi,2,7,True,0.03542673107890499,NR,
11,sarap_2,103.0,1,[5],,meco_para_7,linkPRtBGnmq86L,1,sarap,2,5,True,0.03542673107890499,NR,0.0343906510851419
12,Uretimi_0,404.0,5,"[6, 11, 301, 302, 351]",,meco_para_7,linkPRtBGnmq86L,5,Uretimi,2,7,True,0.03542673107890499,NR,0.1348914858096828
13,kadar_0,102.0,1,[8],,meco_para_7,linkPRtBGnmq86L,1,kadar,2,5,True,0.03542673107890499,NR,0.0340567612687813
14,"antikken,_0",103.0,1,[350],,meco_para_7,linkPRtBGnmq86L,1,"antikken,",2,9,True,0.03542673107890499,NR,0.0343906510851419
15,daha_0,,0,[],,meco_para_7,linkPRtBGnmq86L,0,daha,2,4,True,0.03542673107890499,NR,
16,bicimsel_0,70.0,1,[308],,meco_para_7,linkPRtBGnmq86L,1,bicimsel,2,8,True,0.03542673107890499,NR,0.02337228714524207
17,bir_0,,0,[],,meco_para_7,linkPRtBGnmq86L,0,bir,2,3,True,0.03542673107890499,NR,
18,metodoloji_0,339.0,4,"[24, 25, 26, 57]",,meco_para_7,linkPRtBGnmq86L,4,metodoloji,2,10,True,0.03542673107890499,NR,0.11318864774624374
19,orta_0,68.0,1,[360],,meco_para_7,linkPRtBGnmq86L,1,orta,2,4,True,0.03542673107890499,NR,0.02270450751252087
20, caglarin_0,68.0,1,[317],,meco_para_7,linkPRtBGnmq86L,1, caglarin,2,9,True,0.03542673107890499,NR,0.02270450751252087
21,sonlarindan_0,66.0,1,[368],,meco_para_7,linkPRtBGnmq86L,1,sonlarindan,2,11,True,0.03542673107890499,NR,0.022036727879799666
22, glnUmUuze_0,753.0,7,"[7, 28, 300, 303, 327, 328, 354]",,meco_para_7,linkPRtBGnmq86L,7, glnUmUuze,2,10,True,0.03542673107890499,NR,0.25141903171953256
23,yavasca__0,100.0,1,[355],,meco_para_7,linkPRtBGnmq86L,1,yavasca,2,7,True,0.03542673107890499,NR,0.0333889816360601
24,olusmaktadir._0,203.0,3,"[12, 356, 377]",,meco_para_7,linkPRtBGnmq86L,3,olusmaktadir.,2,13,True,0.03542673107890499,NR,0.06777963272120201
25,"Modern,_0",680.0,4,"[309, 310, 359, 380]",,meco_para_7,linkPRtBGnmq86L,4,"Modern,",3,7,True,0.03542673107890499,NR,0.12893439514599925
26,profesyonel_0,66.0,1,[381],,meco_para_7,linkPRtBGnmq86L,1,profesyonel,3,11,True,0.03542673107890499,NR,0.012514220705346985
27,sarap_3,69.0,1,[56],,meco_para_7,linkPRtBGnmq86L,1,sarap,3,5,True,0.03542673107890499,NR,0.013083048919226393
28,—_0,,0,[],,meco_para_7,linkPRtBGnmq86L,0,—,3,1,True,0.03542673107890499,NR,
