,word_id_orig,TRT,FixCount,scanPath,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Sarap_0,117.0,1,[121],,meco_para_7,1,Sarap,1,5,True,0.07068607068607069,NR,0.0703125
1,"tadimi,_0",186.0,2,"[101, 147]",,meco_para_7,2,"tadimi,",1,7,True,0.07068607068607069,NR,0.11177884615384616
2,sarabin_0,731.0,7,"[11, 35, 84, 102, 145, 213, 374]",,meco_para_7,7,sarabin,1,7,True,0.07068607068607069,NR,0.43930288461538464
3, duyumsal_0,366.0,3,"[36, 81, 98]",,meco_para_7,3, duyumsal,1,9,True,0.07068607068607069,NR,0.21995192307692307
4,olarak_0,92.0,1,[270],,meco_para_7,1,olarak,1,6,True,0.07068607068607069,NR,0.055288461538461536
5,incelenmesi_0,172.0,2,"[52, 119]",,meco_para_7,2,incelenmesi,1,11,True,0.07068607068607069,NR,0.10336538461538461
6,ve_0,,0,[],,meco_para_7,0,ve,1,2,True,0.07068607068607069,NR,
7,degerlendirilmesidir._0,,0,[],,meco_para_7,0,degerlendirilmesidir.,1,21,True,0.07068607068607069,NR,
8,Sarap_1,,0,[],,meco_para_7,0,Sarap,2,5,True,0.07068607068607069,NR,
9,tadim_0,,0,[],,meco_para_7,0,tadim,2,5,True,0.07068607068607069,NR,
10,pratigi_0,366.0,3,"[55, 122, 317]",,meco_para_7,3,pratigi,2,7,True,0.07068607068607069,NR,0.08356164383561644
11,sarap_2,362.0,4,"[27, 179, 316, 375]",,meco_para_7,4,sarap,2,5,True,0.07068607068607069,NR,0.08264840182648402
12,Uretimi_0,559.0,5,"[103, 178, 292, 293, 315]",,meco_para_7,5,Uretimi,2,7,True,0.07068607068607069,NR,0.12762557077625572
13,kadar_0,97.0,1,[373],,meco_para_7,1,kadar,2,5,True,0.07068607068607069,NR,0.02214611872146119
14,"antikken,_0",552.0,4,"[9, 26, 37, 144]",,meco_para_7,4,"antikken,",2,9,True,0.07068607068607069,NR,0.12602739726027398
15,daha_0,,0,[],,meco_para_7,0,daha,2,4,True,0.07068607068607069,NR,
16,bicimsel_0,191.0,2,"[210, 211]",,meco_para_7,2,bicimsel,2,8,True,0.07068607068607069,NR,0.04360730593607306
17,bir_0,,0,[],,meco_para_7,0,bir,2,3,True,0.07068607068607069,NR,
18,metodoloji_0,,0,[],,meco_para_7,0,metodoloji,2,10,True,0.07068607068607069,NR,
19,orta_0,,0,[],,meco_para_7,0,orta,2,4,True,0.07068607068607069,NR,
20, caglarin_0,,0,[],,meco_para_7,0, caglarin,2,9,True,0.07068607068607069,NR,
21,sonlarindan_0,738.0,7,"[56, 123, 180, 214, 294, 347, 376]",,meco_para_7,7,sonlarindan,2,11,True,0.07068607068607069,NR,0.1684931506849315
22, glnUmUuze_0,262.0,3,"[57, 346, 465]",,meco_para_7,3, glnUmUuze,2,10,True,0.07068607068607069,NR,0.059817351598173515
23,yavasca__0,885.0,7,"[38, 85, 86, 87, 104, 344, 464]",,meco_para_7,7,yavasca,2,7,True,0.07068607068607069,NR,0.20205479452054795
24,olusmaktadir._0,368.0,4,"[97, 173, 372, 480]",,meco_para_7,4,olusmaktadir.,2,13,True,0.07068607068607069,NR,0.08401826484018265
25,"Modern,_0",239.0,2,"[46, 269]",,meco_para_7,2,"Modern,",3,7,True,0.07068607068607069,NR,0.029528045465777118
26,profesyonel_0,,0,[],,meco_para_7,0,profesyonel,3,11,True,0.07068607068607069,NR,
27,sarap_3,343.0,1,[209],,meco_para_7,1,sarap,3,5,True,0.07068607068607069,NR,0.042377069434148755
28,—_0,,0,[],,meco_para_7,0,—,3,1,True,0.07068607068607069,NR,
29,tadimcilari_0,,0,[],,meco_para_7,0,tadimcilari,3,11,True,0.07068607068607069,NR,
30,sarabin_1,278.0,3,"[124, 215, 318]",meco_para_7_qa_1 ,meco_para_7,3,sarabin,3,7,True,0.07068607068607069,NR,0.03434642945391648
31,algilanan_0,440.0,3,"[58, 181, 466]",meco_para_7_qa_1 ,meco_para_7,3,algilanan,3,9,True,0.07068607068607069,NR,0.05436125525080306
32,lezzet_0,467.0,4,"[12, 34, 39, 177]",meco_para_7_qa_1 ,meco_para_7,4,lezzet,3,6,True,0.07068607068607069,NR,0.05769705955028416
33," cesitlerini,_0",357.0,4,"[80, 88, 176, 291]",meco_para_7_qa_1 ,meco_para_7,4," cesitlerini,",3,13,True,0.07068607068607069,NR,0.04410674573758339
34,aromasini_0,493.0,5,"[8, 71, 172, 313, 343]",meco_para_7_qa_1 ,meco_para_7,5,aromasini,3,9,True,0.07068607068607069,NR,0.06090931554237707
35,ve_1,623.0,4,"[45, 74, 171, 371]",meco_para_7_qa_1 ,meco_para_7,4,ve,3,2,True,0.07068607068607069,NR,0.0769705955028416
36, genel__0,295.0,3,"[51, 75, 143]",meco_para_7_qa_1 ,meco_para_7,3, genel,3,6,True,0.07068607068607069,NR,0.036446750679515694
