word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,114.0,1,[5],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,61.0,1,[16],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,188.0,2,"[265, 350]",,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,391.0,5,"[195, 197, 298, 343, 348]",,meco_para_7
Sarap_1,68.0,1,[344],,meco_para_7
tadim_0,79.0,1,[326],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,138.0,2,"[259, 304]",,meco_para_7
"antikken,_0",249.0,3,"[260, 305, 307]",,meco_para_7
daha_0,136.0,2,"[308, 351]",,meco_para_7
bicimsel_0,637.0,6,"[297, 336, 341, 355, 356, 358]",,meco_para_7
bir_0,58.0,1,[340],,meco_para_7
metodoloji_0,98.0,1,[145],,meco_para_7
orta_0,180.0,2,"[218, 233]",,meco_para_7
 caglarin_0,117.0,2,"[199, 345]",,meco_para_7
sonlarindan_0,71.0,1,[4],,meco_para_7
 glnUmUuze_0,52.0,1,[327],,meco_para_7
yavasca__0,144.0,1,[303],,meco_para_7
olusmaktadir._0,156.0,2,"[333, 334]",,meco_para_7
"Modern,_0",310.0,3,"[335, 352, 359]",,meco_para_7
profesyonel_0,291.0,4,"[159, 171, 213, 234]",,meco_para_7
sarap_3,756.0,5,"[217, 231, 314, 324, 379]",,meco_para_7
—_0,103.0,1,[379],,meco_para_7
tadimcilari_0,765.0,5,"[175, 200, 219, 315, 346]",,meco_para_7
sarabin_1,295.0,2,"[6, 329]",meco_para_7_qa_1 ,meco_para_7
algilanan_0,230.0,2,"[3, 331]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,63.0,1,[302],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",144.0,2,"[15, 306]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,238.0,2,"[10, 11]",meco_para_7_qa_1 ,meco_para_7
ve_1,72.0,1,[353],meco_para_7_qa_1 ,meco_para_7
 genel__0,339.0,4,"[26, 229, 354, 360]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,1332.0,15,"[71, 143, 144, 160, 170, 173, 174, 192, 194, 216, 230, 235, 284, 339, 375]",meco_para_7_qa_1 ,meco_para_7
tarif_0,388.0,2,"[32, 42]",meco_para_7_qa_1 ,meco_para_7
etmek_0,130.0,2,"[147, 176]",meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,120.0,2,"[7, 330]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,71.0,1,[301],meco_para_7_qa_1 ,meco_para_7
olarak_1,66.0,1,[8],meco_para_7_qa_1 ,meco_para_7
gelisen_0,68.0,1,[262],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,331.0,2,"[309, 332]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,249.0,3,"[236, 370, 373]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1017.0,8,"[29, 72, 73, 123, 190, 215, 338, 376]",meco_para_7_qa_1 ,meco_para_7
Son_0,471.0,6,"[30, 41, 43, 191, 285, 377]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,288.0,4,"[31, 148, 161, 378]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,77.0,1,[427],meco_para_7_qa_0 ,meco_para_7
hem_1,65.0,1,[300],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
sarap_4,225.0,2,"[9, 289]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,582.0,4,"[237, 311, 320, 371]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,1633.0,14,"[27, 57, 95, 124, 158, 246, 312, 313, 337, 342, 372, 374, 391, 392]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,240.0,3,"[56, 78, 193]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,122.0,2,"[44, 149]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,298.0,2,"[413, 447]",,meco_para_7
"Ornegin,_0",105.0,1,[287],,meco_para_7
arastirmalar_0,69.0,1,[13],,meco_para_7
insanlarin_0,406.0,6,"[1, 12, 244, 258, 272, 290]",,meco_para_7
daha_1,375.0,3,"[295, 296, 322]",,meco_para_7
pahali_0,792.0,5,"[94, 228, 310, 369, 388]",,meco_para_7
sarabin_2,863.0,8,"[70, 96, 125, 188, 189, 212, 256, 393]",,meco_para_7
daha_2,509.0,5,"[28, 58, 201, 214, 457]",,meco_para_7
ucuz_0,294.0,4,"[59, 77, 169, 395]",,meco_para_7
saraba__0,146.0,2,"[45, 60]",,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,351.0,1,[49],,meco_para_7
