word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",430.0,4,"[89, 90, 91, 92]",,meco_para_7
sarabin_0,382.0,4,"[11, 42, 71, 94]",,meco_para_7
 duyumsal_0,577.0,6,"[8, 68, 73, 95, 116, 137]",,meco_para_7
olarak_0,147.0,2,"[17, 74]",,meco_para_7
incelenmesi_0,678.0,4,"[75, 76, 362, 579]",,meco_para_7
ve_0,73.0,1,[133],,meco_para_7
degerlendirilmesidir._0,604.0,5,"[20, 29, 61, 62, 153]",,meco_para_7
Sarap_1,116.0,1,[30],,meco_para_7
tadim_0,536.0,5,"[31, 63, 128, 129, 154]",,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,78.0,1,[45],,meco_para_7
Uretimi_0,187.0,2,"[12, 43]",,meco_para_7
kadar_0,243.0,2,"[117, 417]",,meco_para_7
"antikken,_0",327.0,3,"[119, 135, 528]",,meco_para_7
daha_0,343.0,4,"[51, 67, 134, 145]",,meco_para_7
bicimsel_0,190.0,2,"[148, 395]",,meco_para_7
bir_0,158.0,1,[361],,meco_para_7
metodoloji_0,536.0,5,"[22, 26, 59, 132, 394]",,meco_para_7
orta_0,425.0,3,"[28, 125, 152]",,meco_para_7
 caglarin_0,614.0,6,"[33, 127, 131, 155, 159, 393]",,meco_para_7
sonlarindan_0,209.0,1,[530],,meco_para_7
 glnUmUuze_0,945.0,6,"[13, 44, 397, 418, 468, 529]",,meco_para_7
yavasca__0,188.0,2,"[15, 41]",,meco_para_7
olusmaktadir._0,691.0,6,"[7, 40, 96, 120, 162, 416]",,meco_para_7
"Modern,_0",320.0,3,"[52, 161, 580]",,meco_para_7
profesyonel_0,723.0,7,"[25, 66, 122, 149, 160, 181, 414]",,meco_para_7
sarap_3,364.0,4,"[27, 58, 60, 180]",,meco_para_7
—_0,144.0,2,"[21, 60]",,meco_para_7
tadimcilari_0,158.0,2,"[21, 126]",,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,474.0,3,"[400, 419, 466]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,140.0,2,"[165, 607]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",1173.0,8,"[14, 118, 163, 164, 166, 183, 184, 185]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,589.0,5,"[39, 146, 182, 281, 415]",meco_para_7_qa_1 ,meco_para_7
ve_1,582.0,2,"[527, 581]",meco_para_7_qa_1 ,meco_para_7
 genel__0,232.0,3,"[38, 121, 147]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,1042.0,9,"[55, 57, 77, 105, 123, 124, 150, 214, 360]",meco_para_7_qa_1 ,meco_para_7
tarif_0,71.0,1,[215],meco_para_7_qa_1 ,meco_para_7
etmek_0,293.0,4,"[107, 179, 216, 217]",meco_para_7_qa_1 ,meco_para_7
icin_0,486.0,2,"[82, 200]",meco_para_7_qa_1 ,meco_para_7
kullanilan_0,193.0,1,[531],meco_para_7_qa_1 ,meco_para_7
stirekli_0,246.0,2,"[401, 467]",meco_para_7_qa_1 ,meco_para_7
olarak_1,296.0,2,"[398, 606]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,470.0,3,"[428, 429, 578]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,875.0,5,"[186, 204, 280, 282, 283]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1685.0,10,"[6, 142, 144, 168, 169, 192, 203, 243, 244, 279]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1800.0,11,"[23, 24, 102, 103, 104, 151, 213, 242, 272, 273, 278]",meco_para_7_qa_1 ,meco_para_7
Son_0,932.0,5,"[37, 106, 202, 241, 274]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,864.0,8,"[65, 79, 80, 109, 198, 275, 276, 413]",meco_para_7_qa_1 ,meco_para_7
hem_0,978.0,6,"[81, 110, 176, 277, 353, 354]",meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,335.0,2,"[420, 532]",meco_para_7_qa_0 ,meco_para_7
hem_1,428.0,2,"[399, 469]",meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
sarap_4,664.0,4,"[187, 205, 245, 246]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,514.0,4,"[139, 143, 188, 189]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,1156.0,8,"[53, 141, 170, 190, 191, 193, 212, 271]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,402.0,4,"[54, 171, 172, 221]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,nan,0,[],,meco_para_7
 ortaya_0,479.0,3,"[220, 240, 358]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",1124.0,6,"[421, 464, 465, 533, 562, 563]",,meco_para_7
arastirmalar_0,822.0,5,"[226, 402, 463, 560, 605]",,meco_para_7
insanlarin_0,1707.0,8,"[206, 228, 229, 318, 319, 427, 559, 608]",,meco_para_7
daha_1,1345.0,9,"[140, 223, 230, 247, 284, 297, 320, 321, 472]",,meco_para_7
pahali_0,1350.0,10,"[97, 210, 222, 231, 248, 249, 285, 296, 316, 333]",,meco_para_7
