word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
In_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
competitive_0,413.0,1,[52],meco_para_3_qa_1 ,meco_para_3
"sports,_0",nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
is_0,71.0,1,[7],meco_para_3_qa_1 ,meco_para_3
the_0,749.0,1,[8],meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
of_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,166.0,2,"[50, 104]",meco_para_3_qa_1 ,meco_para_3
competitors._0,75.0,1,[105],meco_para_3_qa_1 ,meco_para_3
The_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
term_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
doping_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
is_1,338.0,1,[39],meco_para_3_qa_1 ,meco_para_3
widely_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
used_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
organizations_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
which_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
regulate_0,600.0,2,"[30, 103]",,meco_para_3
sporting_0,654.0,4,"[31, 70, 71, 106]",,meco_para_3
competitions._0,165.0,2,"[72, 73]",,meco_para_3
The_2,nan,0,[],,meco_para_3
use_1,nan,0,[],,meco_para_3
of_1,nan,0,[],,meco_para_3
drugs_1,442.0,3,"[40, 41, 76]",,meco_para_3
to_0,nan,0,[],,meco_para_3
enhance_0,nan,0,[],,meco_para_3
performance_0,nan,0,[],,meco_para_3
is_2,nan,0,[],,meco_para_3
largely_0,nan,0,[],,meco_para_3
considered_0,446.0,4,"[67, 68, 69, 294]",,meco_para_3
"unethical,_0",586.0,2,"[122, 123]",,meco_para_3
and_0,414.0,1,[36],,meco_para_3
is_3,624.0,3,"[32, 37, 148]",,meco_para_3
therefore_0,786.0,3,"[33, 38, 110]",,meco_para_3
prohibited_0,277.0,1,[42],,meco_para_3
by_2,nan,0,[],,meco_para_3
most_0,435.0,3,"[22, 43, 44]",,meco_para_3
international_0,nan,0,[],,meco_para_3
sports_1,nan,0,[],,meco_para_3
"organizations,_1",578.0,4,"[66, 81, 120, 295]",,meco_para_3
including_0,355.0,3,"[136, 144, 145]",,meco_para_3
the_3,266.0,3,"[35, 108, 147]",,meco_para_3
International_1,337.0,4,"[15, 34, 109, 124]",,meco_para_3
Olympic_0,1102.0,6,"[14, 16, 26, 113, 117, 318]",,meco_para_3
Committee._0,1054.0,6,"[25, 77, 78, 91, 118, 151]",,meco_para_3
"Furthermore,_0",nan,0,[],,meco_para_3
athletes_0,nan,0,[],,meco_para_3
who_0,nan,0,[],,meco_para_3
take_0,60.0,1,[157],,meco_para_3
explicit._0,579.0,3,"[133, 135, 283]",,meco_para_3
measures_0,168.0,1,[137],,meco_para_3
to_1,137.0,1,[143],,meco_para_3
evade_0,195.0,2,"[142, 312]",,meco_para_3
detection_0,819.0,3,"[93, 112, 149]",,meco_para_3
exacerbate_0,2595.0,15,"[13, 17, 18, 56, 57, 59, 90, 92, 114, 115, 116, 150, 313, 315, 316]",,meco_para_3
the_4,nan,0,[],,meco_para_3
ethical_0,447.0,2,"[23, 79]",,meco_para_3
violation_0,nan,0,[],,meco_para_3
with_0,nan,0,[],,meco_para_3
overt_0,nan,0,[],,meco_para_3
deception_0,102.0,1,[82],,meco_para_3
and_1,592.0,1,[134],,meco_para_3
cheating._0,926.0,8,"[284, 285, 286, 297, 298, 309, 310, 311]",,meco_para_3
Despite_0,nan,0,[],,meco_para_3
its_0,1190.0,6,"[4, 55, 94, 141, 156, 299]",,meco_para_3
prevalence_0,1612.0,6,"[2, 3, 12, 125, 126, 132]",,meco_para_3
in_1,860.0,2,"[58, 89]",,meco_para_3
the_5,318.0,2,"[19, 152]",,meco_para_3
headlines_0,456.0,4,"[20, 61, 153, 314]",,meco_para_3
"recently,_0",135.0,1,[80],,meco_para_3
doping_2,nan,0,[],,meco_para_3
is_4,nan,0,[],,meco_para_3
not_0,328.0,2,"[201, 212]",,meco_para_3
a_0,309.0,2,"[159, 189]",,meco_para_3
new_0,983.0,3,"[174, 202, 272]",,meco_para_3
