word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
In_0,70.0,1,[44],meco_para_3_qa_1 ,meco_para_3
competitive_0,478.0,4,"[50, 82, 83, 96]",meco_para_3_qa_1 ,meco_para_3
"sports,_0",456.0,3,"[31, 84, 97]",meco_para_3_qa_1 ,meco_para_3
doping_0,543.0,4,"[62, 63, 99, 204]",meco_para_3_qa_1 ,meco_para_3
is_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
the_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
use_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
of_0,100.0,1,[65],meco_para_3_qa_1 ,meco_para_3
banned_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
performance-enhancing_0,125.0,2,"[57, 59]",meco_para_3_qa_1 ,meco_para_3
drugs_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
by_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
athletic_0,987.0,7,"[28, 48, 49, 77, 79, 94, 109]",meco_para_3_qa_1 ,meco_para_3
competitors._0,752.0,7,"[9, 81, 95, 110, 165, 166, 180]",meco_para_3_qa_1 ,meco_para_3
The_1,502.0,4,"[10, 56, 98, 120]",meco_para_3_qa_1 ,meco_para_3
term_0,472.0,4,"[32, 100, 119, 205]",meco_para_3_qa_1 ,meco_para_3
doping_1,177.0,3,"[33, 64, 206]",meco_para_3_qa_1 ,meco_para_3
is_1,nan,0,[],meco_para_3_qa_1 ,meco_para_3
widely_0,99.0,1,[66],meco_para_3_qa_1 ,meco_para_3
used_0,108.0,1,[87],meco_para_3_qa_1 ,meco_para_3
by_1,224.0,1,[67],meco_para_3_qa_1 ,meco_para_3
organizations_0,166.0,2,"[19, 60]",meco_para_3_qa_1 ,meco_para_3
which_0,nan,0,[],meco_para_3_qa_1 ,meco_para_3
regulate_0,823.0,7,"[6, 7, 80, 108, 164, 201, 202]",,meco_para_3
sporting_0,1976.0,10,"[8, 53, 111, 150, 151, 181, 203, 220, 224, 226]",,meco_para_3
