word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,354.0,3,"[595, 598, 648]",,meco_para_7
ve_0,432.0,4,"[581, 584, 586, 594]",,meco_para_7
degerlendirilmesidir._0,63.0,1,[99],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,202.0,1,[643],,meco_para_7
bicimsel_0,1008.0,9,"[544, 545, 550, 555, 557, 596, 603, 645, 671]",,meco_para_7
bir_0,1596.0,10,"[534, 548, 552, 554, 558, 559, 577, 592, 646, 647]",,meco_para_7
metodoloji_0,485.0,4,"[339, 546, 561, 588]",,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,69.0,1,[574],,meco_para_7
yavasca__0,336.0,2,"[571, 573]",,meco_para_7
olusmaktadir._0,299.0,4,"[565, 566, 567, 569]",,meco_para_7
"Modern,_0",728.0,6,"[531, 549, 551, 585, 599, 601]",,meco_para_7
profesyonel_0,998.0,10,"[0, 56, 83, 84, 338, 560, 562, 563, 590, 602]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,75.0,1,[788],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,410.0,4,"[38, 576, 660, 875]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,276.0,2,"[572, 847]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",133.0,1,[848],meco_para_7_qa_1 ,meco_para_7
aromasini_0,502.0,3,"[568, 642, 644]",meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,923.0,10,"[55, 77, 86, 330, 539, 540, 541, 556, 738, 754]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,832.0,8,"[57, 81, 98, 340, 542, 579, 747, 748]",meco_para_7_qa_1 ,meco_para_7
tarif_0,241.0,3,"[100, 101, 143]",meco_para_7_qa_1 ,meco_para_7
etmek_0,73.0,1,[749],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,637.0,5,"[36, 37, 39, 65, 105]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,63.0,1,[876],meco_para_7_qa_1 ,meco_para_7
olarak_1,113.0,1,[659],meco_para_7_qa_1 ,meco_para_7
gelisen_0,137.0,2,"[846, 849]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,505.0,5,"[487, 641, 649, 741, 850]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,2526.0,26,"[1, 54, 76, 78, 80, 87, 90, 116, 117, 136, 137, 170, 331, 535, 536, 537, 600, 669, 675, 676, 677, 740, 831, 832, 833, 834]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1623.0,13,"[91, 93, 97, 120, 121, 141, 198, 337, 543, 593, 718, 753, 780]",meco_para_7_qa_1 ,meco_para_7
Son_0,930.0,5,"[58, 59, 142, 719, 781]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,401.0,4,"[60, 761, 765, 787]",meco_para_7_qa_1 ,meco_para_7
hem_0,135.0,1,[789],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,790.0,6,"[66, 67, 106, 108, 126, 768]",meco_para_7_qa_0 ,meco_para_7
hem_1,606.0,6,"[7, 10, 14, 68, 658, 934]",meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
sarap_4,568.0,4,"[47, 52, 851, 964]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,1107.0,11,"[53, 89, 114, 115, 133, 135, 193, 332, 639, 640, 743]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,2396.0,18,"[25, 79, 82, 88, 94, 118, 197, 329, 336, 532, 533, 638, 756, 809, 823, 830, 835, 959]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,1105.0,12,"[29, 145, 674, 752, 760, 766, 837, 839, 841, 871, 892, 914]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,1058.0,10,"[61, 227, 580, 720, 762, 763, 767, 870, 893, 895]",,meco_para_7
 ortaya_0,374.0,3,"[283, 750, 840]",,meco_para_7
ciktl._0,356.0,3,"[6, 127, 933]",,meco_para_7
"Ornegin,_0",598.0,7,"[5, 9, 40, 229, 440, 661, 729]",,meco_para_7
arastirmalar_0,763.0,7,"[11, 12, 13, 15, 129, 186, 651]",,meco_para_7
insanlarin_0,643.0,7,"[113, 138, 650, 771, 884, 965, 988]",,meco_para_7
daha_1,721.0,8,"[20, 51, 167, 192, 488, 668, 742, 860]",,meco_para_7
pahali_0,1114.0,9,"[134, 194, 333, 682, 810, 813, 820, 825, 828]",,meco_para_7
sarabin_2,2187.0,18,"[24, 119, 140, 171, 196, 223, 334, 516, 715, 744, 822, 824, 829, 842, 843, 909, 910, 913]",,meco_para_7
daha_2,1434.0,13,"[26, 27, 30, 33, 225, 226, 518, 635, 636, 751, 757, 759, 915]",,meco_para_7
ucuz_0,436.0,5,"[146, 199, 869, 872, 894]",,meco_para_7
saraba__0,621.0,7,"[28, 102, 149, 177, 633, 721, 764]",,meco_para_7
gore_0,293.0,3,"[150, 782, 786]",,meco_para_7
daha_3,958.0,9,"[64, 154, 155, 210, 228, 724, 769, 896, 897]",,meco_para_7
fazla_0,859.0,7,"[153, 156, 157, 654, 877, 878, 932]",,meco_para_7
 arzulanan__0,1626.0,14,"[69, 128, 152, 158, 185, 212, 230, 387, 388, 414, 441, 652, 655, 798]",,meco_para_7
karakteristige_0,871.0,10,"[17, 18, 41, 46, 48, 49, 112, 730, 770, 963]",,meco_para_7
sahip_0,740.0,8,"[132, 139, 189, 190, 191, 947, 960, 989]",,meco_para_7
olmasini_0,2286.0,21,"[74, 169, 195, 495, 514, 515, 530, 736, 755, 777, 812, 814, 815, 819, 821, 861, 886, 958, 961, 974, 975]",,meco_para_7
beklediklerini_0,3425.0,28,"[22, 23, 172, 224, 241, 242, 335, 493, 517, 611, 683, 684, 685, 713, 717, 739, 746, 758, 779, 844, 887, 911, 912, 918, 920, 925, 926, 928]",,meco_para_7
gostermistir:_0,3132.0,29,"[62, 95, 103, 124, 147, 176, 200, 201, 278, 282, 341, 519, 521, 522, 624, 626, 632, 634, 672, 673, 845, 873, 874, 891, 916, 921, 923, 924, 929]",,meco_para_7
|_0,683.0,6,"[282, 341, 634, 722, 917, 931]",,meco_para_7
Tadimcilar_0,884.0,8,"[284, 309, 343, 344, 722, 783, 785, 917]",,meco_para_7
verilen_0,70.0,1,[726],,meco_para_7
 sarabin_0,1614.0,14,"[109, 183, 250, 389, 415, 439, 656, 689, 690, 692, 727, 728, 799, 800]",,meco_para_7
gercek_0,725.0,6,"[70, 111, 213, 249, 345, 390]",,meco_para_7
olmayan’_0,465.0,5,"[19, 45, 165, 187, 936]",,meco_para_7
bir_1,515.0,5,"[42, 131, 731, 852, 854]",,meco_para_7
 sekilde_0,1690.0,15,"[21, 50, 168, 222, 513, 776, 808, 816, 818, 826, 906, 938, 946, 948, 990]",,meco_para_7
 pahali_0,1429.0,14,"[220, 481, 496, 510, 511, 667, 710, 711, 735, 737, 778, 827, 957, 967]",,meco_para_7
oldugu_0,1186.0,10,"[123, 245, 276, 359, 457, 494, 714, 888, 919, 927]",,meco_para_7
"soylendiginde,_0",2630.0,21,"[34, 175, 243, 244, 246, 277, 281, 363, 367, 368, 373, 459, 463, 520, 621, 623, 631, 686, 889, 890, 922]",,meco_para_7
neredeyse_0,1540.0,14,"[178, 206, 207, 209, 247, 248, 285, 342, 384, 410, 434, 625, 784, 930]",,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,171.0,1,[898],,meco_para_7
ayni_0,523.0,4,"[181, 346, 653, 693]",,meco_para_7
sarap_5,1065.0,10,"[110, 184, 231, 312, 416, 657, 695, 790, 791, 795]",,meco_para_7
onlara__0,666.0,7,"[16, 188, 311, 391, 794, 879, 900]",,meco_para_7
