word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,141.0,1,[422],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,71.0,1,[433],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,87.0,1,[420],,meco_para_7
"antikken,_0",nan,0,[],,meco_para_7
daha_0,336.0,2,"[428, 429]",,meco_para_7
bicimsel_0,133.0,2,"[370, 371]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,137.0,1,[434],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,535.0,5,"[11, 12, 37, 38, 423]",,meco_para_7
olusmaktadir._0,261.0,3,"[13, 36, 350]",,meco_para_7
"Modern,_0",454.0,4,"[23, 369, 430, 431]",,meco_para_7
profesyonel_0,241.0,3,"[24, 375, 432]",,meco_para_7
sarap_3,137.0,1,[435],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,63.0,1,[103],meco_para_7_qa_1 ,meco_para_7
algilanan_0,363.0,2,"[6, 8]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,428.0,3,"[9, 10, 419]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",225.0,2,"[14, 349]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,238.0,3,"[15, 40, 348]",meco_para_7_qa_1 ,meco_para_7
ve_1,272.0,2,"[22, 50]",meco_para_7_qa_1 ,meco_para_7
 genel__0,252.0,3,"[28, 47, 368]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,316.0,4,"[34, 35, 93, 436]",meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,643.0,5,"[83, 124, 125, 143, 180]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,218.0,2,"[7, 85]",meco_para_7_qa_1 ,meco_para_7
olarak_1,72.0,1,[326],meco_para_7_qa_1 ,meco_para_7
gelisen_0,269.0,3,"[5, 424, 427]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,777.0,9,"[16, 18, 20, 21, 41, 43, 44, 45, 352]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,606.0,6,"[49, 79, 91, 94, 113, 114]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1326.0,12,"[25, 27, 29, 32, 33, 76, 77, 78, 92, 386, 437, 438]",meco_para_7_qa_1 ,meco_para_7
Son_0,205.0,2,"[31, 378]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,816.0,6,"[62, 84, 123, 142, 144, 145]",meco_para_7_qa_0 ,meco_para_7
hem_1,409.0,4,"[65, 86, 126, 365]",meco_para_7_qa_0 ,meco_para_7
de__0,302.0,2,"[67, 87]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,988.0,12,"[88, 108, 109, 110, 111, 130, 150, 355, 366, 400, 425, 426]",meco_para_7_qa_0 ,meco_para_7
sarap_4,447.0,5,"[70, 71, 72, 131, 354]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,1970.0,12,"[2, 74, 90, 112, 132, 133, 196, 236, 237, 257, 258, 353]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,3388.0,27,"[1, 48, 52, 53, 54, 56, 58, 61, 75, 80, 97, 98, 99, 115, 116, 134, 141, 156, 157, 158, 159, 224, 238, 260, 281, 306, 342]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,742.0,8,"[26, 60, 160, 161, 380, 383, 385, 387]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,527.0,3,"[325, 382, 384]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",501.0,5,"[63, 64, 105, 146, 364]",,meco_para_7
arastirmalar_0,537.0,8,"[66, 107, 129, 149, 183, 261, 416, 418]",,meco_para_7
insanlarin_0,1021.0,9,"[69, 89, 151, 166, 184, 185, 186, 356, 399]",,meco_para_7
daha_1,531.0,6,"[19, 68, 152, 234, 256, 278]",,meco_para_7
pahali_0,1454.0,12,"[0, 118, 175, 195, 219, 253, 254, 259, 279, 280, 301, 302]",,meco_para_7
sarabin_2,1909.0,15,"[57, 59, 101, 119, 120, 135, 140, 176, 177, 178, 179, 197, 222, 343, 388]",,meco_para_7
daha_2,560.0,4,"[95, 96, 100, 324]",,meco_para_7
ucuz_0,63.0,1,[30],,meco_para_7
saraba__0,nan,0,[],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,272.0,1,[162],,meco_para_7
fazla_0,801.0,4,"[147, 181, 226, 243]",,meco_para_7
 arzulanan__0,1115.0,10,"[106, 148, 182, 201, 227, 228, 244, 245, 262, 264]",,meco_para_7
karakteristige_0,664.0,8,"[127, 128, 164, 165, 187, 207, 225, 229]",,meco_para_7
sahip_0,1081.0,6,"[4, 167, 206, 275, 276, 303]",,meco_para_7
olmasini_0,4635.0,23,"[3, 136, 153, 154, 168, 169, 191, 193, 194, 216, 218, 220, 221, 233, 239, 240, 255, 300, 304, 307, 331, 336, 397]",,meco_para_7
beklediklerini_0,1873.0,13,"[81, 102, 117, 121, 122, 172, 192, 217, 323, 341, 389, 439, 441]",,meco_para_7
gostermistir:_0,235.0,3,"[377, 408, 442]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,344.0,1,[198],,meco_para_7
 sarabin_0,335.0,2,"[242, 363]",,meco_para_7
gercek_0,1149.0,10,"[163, 200, 263, 265, 266, 283, 284, 308, 309, 362]",,meco_para_7
olmayan’_0,810.0,8,"[202, 208, 209, 210, 248, 295, 367, 415]",,meco_para_7
bir_1,538.0,3,"[230, 249, 294]",,meco_para_7
 sekilde_0,2200.0,14,"[188, 199, 232, 251, 252, 270, 271, 272, 273, 274, 293, 322, 330, 339]",,meco_para_7
 pahali_0,1206.0,8,"[170, 171, 190, 277, 338, 340, 344, 412]",,meco_para_7
oldugu_0,133.0,2,"[137, 173]",,meco_para_7
"soylendiginde,_0",171.0,2,"[138, 440]",,meco_para_7
neredeyse_0,nan,0,[],,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,209.0,2,"[285, 310]",,meco_para_7
onlara__0,547.0,1,[286],,meco_para_7
ucuz_1,676.0,4,"[211, 246, 247, 357]",,meco_para_7
oldugu_sdylendiginden_0,2604.0,18,"[189, 203, 204, 212, 215, 231, 241, 267, 269, 291, 292, 296, 299, 321, 337, 345, 394, 413]",,meco_para_7
daha__0,311.0,2,"[403, 411]",,meco_para_7
lezzetli_0,nan,0,[],,meco_para_7
oldugunu_0,nan,0,[],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,nan,0,[],,meco_para_7
gosteriyor_0,183.0,3,"[287, 289, 402]",,meco_para_7
ki_0,103.0,1,[288],,meco_para_7
tadimcilarin”_0,690.0,6,"[213, 268, 290, 346, 393, 414]",,meco_para_7
kararlari_0,446.0,5,"[214, 297, 320, 406, 409]",,meco_para_7
cografi_0,nan,0,[],,meco_para_7
"kéken,_0",65.0,1,[404],,meco_para_7
itibar_0,nan,0,[],,meco_para_7
veya_0,nan,0,[],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etki_0,68.0,1,[311],meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
