,word_id_orig,TRT,FixCount,Scan_path,Span_word_is_in,text_id,worker_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,In_0,,0,[],,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,In,1,2,True,0.0,IS,
1,"1973,_0",,0,[],a_1973oilcrisis_2_qa_1 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,"1973,",1,5,True,0.0,IS,
2,Nixon_0,105.0,1,[5],,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,Nixon,1,5,True,0.0,IS,0.01675977653631285
3,named_0,148.0,2,"[11, 14]",,a_1973oilcrisis_2,ARUXG5FD1Q76F,2,named,1,5,True,0.0,IS,0.023623304070231443
4,William_0,,0,[],a_1973oilcrisis_2_qa_0 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,William,1,7,True,0.0,IS,
5,—._0,,0,[],a_1973oilcrisis_2_qa_0 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,—.,1,2,True,0.0,IS,
6,Simon_0,97.0,1,[52],a_1973oilcrisis_2_qa_0 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,Simon,2,5,True,0.0,IS,0.015482841181165203
7,as_0,63.0,1,[21],,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,as,2,2,True,0.0,IS,0.01005586592178771
8,the_0,,0,[],,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,the,2,3,True,0.0,IS,
9,first_0,,0,[],,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,first,2,5,True,0.0,IS,
10,Administrator_0,73.0,1,[85],,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,Administrator,2,13,True,0.0,IS,0.011652035115722267
11,of_0,,0,[],,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,of,2,2,True,0.0,IS,
12,the_1,,0,[],,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,the,2,3,True,0.0,IS,
13,Federal_0,,0,[],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,Federal,2,7,True,0.0,IS,
14,Energy_0,60.0,1,[65],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,Energy,2,6,True,0.0,IS,0.009577015163607342
15,"Office,_0",,0,[],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,"Office,",2,7,True,0.0,IS,
16,a_0,,0,[],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,a,2,1,True,0.0,IS,
17,short-term_0,142.0,2,"[29, 30]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,2,short-term,2,10,True,0.0,IS,0.02266560255387071
18,organization_0,206.0,2,"[18, 31]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,2,organization,2,12,True,0.0,IS,0.03288108539505188
19,created_0,,0,[],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,0,created,2,7,True,0.0,IS,
20,to_0,422.0,5,"[32, 46, 47, 54, 61]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,5,to,2,2,True,0.0,IS,0.06735833998403831
21,coordinate_0,126.0,2,"[60, 93]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,2,coordinate,2,10,True,0.0,IS,0.02011173184357542
22,the_2,135.0,2,"[22, 94]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,2,the,2,3,True,0.0,IS,0.02154828411811652
23,response_0,518.0,5,"[7, 8, 24, 33, 34]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,5,response,2,8,True,0.0,IS,0.08268156424581005
24,to_1,66.0,1,[35],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,to,2,2,True,0.0,IS,0.010534716679968076
25,the_3,96.0,1,[9],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,the,2,3,True,0.0,IS,0.015323224261771748
26,embargo._0,109.0,1,[25],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,embargo.,2,8,True,0.0,IS,0.017398244213886672
27,Simon_1,366.0,4,"[16, 17, 28, 37]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,4,Simon,3,5,True,0.0,IS,0.05841979249800479
28,allocated_0,65.0,2,"[0, 43]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,2,allocated,3,9,True,0.0,IS,0.010375099760574621
29,states_0,227.0,3,"[38, 44, 99]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,3,states,3,6,True,0.0,IS,0.036233040702314444
30,the_4,76.0,1,[72],a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,1,the,3,3,True,0.0,IS,0.012130885873902634
31,same_0,234.0,3,"[45, 71, 100]",a_1973oilcrisis_2_qa_2 ,a_1973oilcrisis_2,ARUXG5FD1Q76F,3,same,3,4,True,0.0,IS,0.03735035913806863
