word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
La_0,nan,0,[],,meco_para_12
patente_0,nan,0,[],,meco_para_12
de_0,nan,0,[],,meco_para_12
un_0,nan,0,[],,meco_para_12
vehiculo_0,nan,0,[],,meco_para_12
es_0,nan,0,[],,meco_para_12
una_0,nan,0,[],,meco_para_12
placa_0,nan,0,[],,meco_para_12
de_1,nan,0,[],,meco_para_12
metal_0,nan,0,[],,meco_para_12
o_0,nan,0,[],,meco_para_12
 plastico_0,143.0,1,[30],,meco_para_12
fijada_0,nan,0,[],,meco_para_12
al_0,136.0,1,[11],,meco_para_12
vehiculo_1,nan,0,[],,meco_para_12
con_0,nan,0,[],,meco_para_12
el_0,nan,0,[],,meco_para_12
propdsito_0,nan,0,[],,meco_para_12
de_2,nan,0,[],,meco_para_12
identificacién_0,nan,0,[],,meco_para_12
oficial_0,68.0,1,[24],,meco_para_12
Todos_0,308.0,1,[25],,meco_para_12
los_0,nan,0,[],,meco_para_12
paises_0,272.0,2,"[28, 46]",,meco_para_12
requieren_0,104.0,1,[29],,meco_para_12
patentes_0,62.0,1,[31],,meco_para_12
para_0,374.0,1,[34],,meco_para_12
vehiculos_0,68.0,1,[18],,meco_para_12
como_0,136.0,1,[19],,meco_para_12
"autos,_0",nan,0,[],,meco_para_12
camiones_0,409.0,3,"[41, 43, 77]",,meco_para_12
y_0,nan,0,[],,meco_para_12
motocicletas._0,202.0,1,[26],,meco_para_12
Su_0,102.0,1,[27],,meco_para_12
 requerimiento_0,nan,0,[],,meco_para_12
para_1,nan,0,[],,meco_para_12
otros_0,170.0,1,[32],,meco_para_12
vehiculos_1,170.0,2,"[15, 33]",,meco_para_12
como_1,203.0,3,"[38, 54, 73]",,meco_para_12
"bicicletas,_0",170.0,2,"[39, 56]",meco_para_12_qa_2 ,meco_para_12
botes_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
o_1,nan,0,[],meco_para_12_qa_2 ,meco_para_12
tractores_0,204.0,2,"[23, 44]",meco_para_12_qa_2 ,meco_para_12
puede_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
variar_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
por_0,nan,0,[],meco_para_12_qa_2 ,meco_para_12
jurisdiccién._0,68.0,1,[45],meco_para_12_qa_2 ,meco_para_12
El_1,nan,0,[],,meco_para_12
identificador_0,782.0,5,"[16, 52, 85, 86, 87]",,meco_para_12
de_3,nan,0,[],,meco_para_12
registro_0,70.0,1,[88],,meco_para_12
es_1,66.0,1,[74],,meco_para_12
una_1,171.0,2,"[55, 57]",meco_para_12_qa_3 ,meco_para_12
serie_0,69.0,1,[58],meco_para_12_qa_3 ,meco_para_12
de_4,103.0,1,[76],meco_para_12_qa_3 ,meco_para_12
letras_0,440.0,3,"[20, 21, 42]",meco_para_12_qa_3 ,meco_para_12
o_2,nan,0,[],meco_para_12_qa_3 ,meco_para_12
ntmeros_0,342.0,3,"[64, 78, 94]",meco_para_12_qa_3 ,meco_para_12
que_0,nan,0,[],,meco_para_12
identifican_0,104.0,1,[47],,meco_para_12
Unicamente_0,101.0,1,[82],,meco_para_12
al_1,137.0,2,"[50, 83]",,meco_para_12
duefio_0,269.0,3,"[13, 51, 84]",,meco_para_12
de_5,nan,0,[],,meco_para_12
un_1,nan,0,[],,meco_para_12
vehiculo_2,134.0,2,"[89, 90]",,meco_para_12
dentro_0,nan,0,[],,meco_para_12
de_6,nan,0,[],,meco_para_12
la__0,408.0,2,"[59, 61]",,meco_para_12
regidn_0,610.0,4,"[22, 60, 62, 92]",,meco_para_12
del_0,608.0,4,"[63, 79, 93, 95]",,meco_para_12
registro_1,409.0,2,"[5, 96]",,meco_para_12
del_1,nan,0,[],,meco_para_12
vehiculo._3,136.0,2,"[65, 97]",,meco_para_12
En_0,101.0,1,[67],,meco_para_12
algunos_0,750.0,4,"[49, 69, 70, 71]",,meco_para_12
"paises,_1",137.0,2,"[102, 103]",,meco_para_12
el_2,nan,0,[],,meco_para_12
identificador_1,nan,0,[],,meco_para_12
es_2,nan,0,[],,meco_para_12
Unico_0,305.0,1,[75],,meco_para_12
en_1,236.0,2,"[91, 110]",,meco_para_12
todo_0,102.0,1,[111],,meco_para_12
el_3,nan,0,[],,meco_para_12
"pais,_0",nan,0,[],,meco_para_12
mientras_0,nan,0,[],,meco_para_12
"que,_1",104.0,1,[80],,meco_para_12
en_2,238.0,2,"[81, 100]",,meco_para_12
"otros,_1",238.0,3,"[48, 99, 101]",,meco_para_12
es_3,nan,0,[],,meco_para_12
Unico_1,205.0,2,"[122, 172]",,meco_para_12
dentro_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
de_7,171.0,1,[179],meco_para_12_qa_0 ,meco_para_12
un_2,nan,0,[],meco_para_12_qa_0 ,meco_para_12
estado_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
o_3,nan,0,[],meco_para_12_qa_0 ,meco_para_12
provincia._0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
Francia_0,67.0,1,[114],meco_para_12_qa_0 ,meco_para_12
fue_0,70.0,1,[115],meco_para_12_qa_0 ,meco_para_12
el_4,nan,0,[],meco_para_12_qa_0 ,meco_para_12
primer_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
pais_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
en_3,nan,0,[],meco_para_12_qa_0 ,meco_para_12
 introducir_0,853.0,5,"[121, 145, 147, 173, 198]",meco_para_12_qa_0 ,meco_para_12
la_1,nan,0,[],meco_para_12_qa_0 ,meco_para_12
"patente,_1",587.0,5,"[124, 125, 148, 149, 178]",meco_para_12_qa_0 ,meco_para_12
a_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
fines_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
del_2,68.0,1,[108],meco_para_12_qa_0 ,meco_para_12
siglo_0,101.0,1,[183],meco_para_12_qa_0 ,meco_para_12
diecinueve._0,203.0,2,"[112, 113]",meco_para_12_qa_0 ,meco_para_12
Las_0,nan,0,[],meco_para_12_qa_0 ,meco_para_12
patentes_1,99.0,1,[4],meco_para_12_qa_0 ,meco_para_12
de_8,nan,0,[],meco_para_12_qa_0 ,meco_para_12
 principios_0,69.0,1,[119],meco_para_12_qa_0 ,meco_para_12
de_9,135.0,1,[120],meco_para_12_qa_0 ,meco_para_12
siglo_1,676.0,4,"[171, 174, 197, 199]",meco_para_12_qa_0 ,meco_para_12
veinte_0,237.0,2,"[146, 176]",meco_para_12_qa_0 ,meco_para_12
variaban_0,228.0,2,"[150, 177]",,meco_para_12
en_4,nan,0,[],,meco_para_12
tamafio_0,170.0,2,"[151, 181]",,meco_para_12
y_1,276.0,2,"[126, 182]",,meco_para_12
forma_0,nan,0,[],,meco_para_12
de_10,nan,0,[],,meco_para_12
una_2,nan,0,[],,meco_para_12
 jurisdiccién_0,308.0,3,"[154, 162, 163]",,meco_para_12
a_1,205.0,1,[117],,meco_para_12
"otra,_0",168.0,2,"[161, 165]",,meco_para_12
de_11,339.0,2,"[140, 169]",,meco_para_12
