word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",86.0,1,[10],,meco_para_7
sarabin_0,89.0,1,[11],,meco_para_7
 duyumsal_0,349.0,3,"[12, 13, 14]",,meco_para_7
olarak_0,173.0,1,[41],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,267.0,1,[45],,meco_para_7
degerlendirilmesidir._0,623.0,4,"[21, 22, 46, 427]",,meco_para_7
Sarap_1,174.0,2,"[430, 431]",,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,85.0,1,[38],,meco_para_7
kadar_0,89.0,1,[39],,meco_para_7
"antikken,_0",266.0,2,"[40, 42]",,meco_para_7
daha_0,176.0,1,[43],,meco_para_7
bicimsel_0,350.0,2,"[44, 77]",,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,357.0,3,"[48, 49, 50]",,meco_para_7
orta_0,1136.0,4,"[24, 51, 53, 426]",,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,612.0,1,[9],,meco_para_7
 glnUmUuze_0,82.0,1,[37],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,181.0,1,[76],,meco_para_7
"Modern,_0",811.0,5,"[26, 78, 79, 101, 114]",,meco_para_7
profesyonel_0,843.0,4,"[80, 81, 104, 105]",,meco_para_7
sarap_3,436.0,3,"[25, 54, 82]",,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,623.0,2,"[52, 432]",,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,262.0,2,"[8, 36]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,89.0,1,[29],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",300.0,3,"[28, 73, 131]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,1156.0,9,"[27, 75, 99, 100, 132, 133, 134, 419, 538]",meco_para_7_qa_1 ,meco_para_7
ve_1,440.0,2,"[86, 453]",meco_para_7_qa_1 ,meco_para_7
 genel__0,1055.0,7,"[55, 102, 103, 106, 115, 122, 159]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,888.0,9,"[83, 85, 116, 121, 160, 161, 162, 401, 425]",meco_para_7_qa_1 ,meco_para_7
tarif_0,1315.0,3,"[84, 119, 120]",meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,177.0,1,[409],meco_para_7_qa_1 ,meco_para_7
stirekli_0,1989.0,8,"[7, 35, 127, 150, 151, 408, 410, 468]",meco_para_7_qa_1 ,meco_para_7
olarak_1,959.0,9,"[30, 70, 71, 128, 173, 406, 411, 412, 535]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,1692.0,13,"[57, 58, 72, 130, 147, 154, 383, 405, 413, 414, 471, 536, 537]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,3342.0,19,"[56, 74, 87, 98, 123, 124, 146, 155, 156, 403, 404, 415, 416, 417, 418, 449, 473, 475, 539]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,2946.0,16,"[107, 113, 135, 145, 157, 158, 186, 187, 402, 420, 451, 452, 476, 504, 505, 540]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,357.0,4,"[117, 188, 189, 395]",meco_para_7_qa_1 ,meco_para_7
Son_0,965.0,3,"[118, 141, 424]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,2284.0,6,"[142, 143, 163, 222, 400, 433]",meco_para_7_qa_1 ,meco_para_7
hem_0,269.0,1,[246],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,364.0,2,"[734, 735]",meco_para_7_qa_0 ,meco_para_7
hem_1,986.0,7,"[34, 60, 172, 407, 533, 707, 737]",meco_para_7_qa_0 ,meco_para_7
de__0,1669.0,13,"[6, 33, 59, 69, 152, 174, 380, 381, 469, 470, 530, 732, 739]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,2738.0,27,"[31, 32, 88, 89, 95, 125, 126, 129, 149, 153, 167, 168, 175, 182, 183, 199, 437, 465, 472, 491, 492, 498, 709, 740, 741, 763, 764]",meco_para_7_qa_0 ,meco_para_7
sarap_4,800.0,5,"[166, 178, 184, 387, 474]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,2127.0,15,"[108, 112, 185, 198, 386, 436, 448, 450, 477, 489, 502, 503, 541, 715, 717]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,1767.0,12,"[224, 392, 393, 394, 454, 478, 479, 488, 543, 544, 718, 728]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,1490.0,10,"[140, 164, 190, 396, 397, 434, 482, 487, 545, 750]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,2753.0,11,"[192, 223, 354, 398, 485, 486, 516, 517, 722, 753, 754]",,meco_para_7
 ortaya_0,442.0,2,"[245, 355]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",710.0,4,"[171, 203, 531, 532]",,meco_para_7
arastirmalar_0,4601.0,27,"[68, 90, 94, 169, 170, 181, 201, 202, 208, 209, 210, 379, 466, 467, 493, 495, 496, 497, 529, 534, 589, 706, 708, 710, 731, 761, 762]",,meco_para_7
insanlarin_0,1924.0,16,"[5, 61, 176, 177, 179, 200, 227, 236, 438, 443, 444, 464, 730, 744, 765, 768]",,meco_para_7
