,word_id_orig,TRT,FixCount,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Dunya_0,,0,,meco_para_11,0,Dunya,1,5,False,0.28191489361702127,NR,
1,Doga_0,,0,,meco_para_11,0,Doga,1,4,False,0.28191489361702127,NR,
2,ve_0,,0,,meco_para_11,0,ve,1,2,False,0.28191489361702127,NR,
3,Dogal_0,,0,,meco_para_11,0,Dogal,1,5,False,0.28191489361702127,NR,
4,Kaynaklari_0,,0,,meco_para_11,0,Kaynaklari,1,10,False,0.28191489361702127,NR,
5,Koruma__0,,0,,meco_para_11,0,Koruma,1,6,False,0.28191489361702127,NR,
6,Birligi_0,,0,,meco_para_11,0,Birligi,1,7,False,0.28191489361702127,NR,
7,doganin_0,,0,,meco_para_11,0,doganin,1,7,False,0.28191489361702127,NR,
8,korunmasi_0,,0,,meco_para_11,0,korunmasi,1,9,False,0.28191489361702127,NR,
9,ve_1,,0,,meco_para_11,0,ve,1,2,False,0.28191489361702127,NR,
10, dogal_0,,0,,meco_para_11,0, dogal,1,6,False,0.28191489361702127,NR,
11,kaynaklarin_0,,0,,meco_para_11,0,kaynaklarin,1,11,False,0.28191489361702127,NR,
12, sUrdirulebilir_0,,0,,meco_para_11,0, sUrdirulebilir,1,15,False,0.28191489361702127,NR,
13,=_0,,0,,meco_para_11,0,=,1,1,False,0.28191489361702127,NR,
14,kullanimi_0,,0,,meco_para_11,0,kullanimi,1,9,False,0.28191489361702127,NR,
15,alaninda_0,,0,,meco_para_11,0,alaninda,1,8,False,0.28191489361702127,NR,
16,galisan_—uluslararas!_0,,0,meco_para_11_qa_0 ,meco_para_11,0,galisan,1,7,False,0.28191489361702127,NR,
17,bir_0,,0,meco_para_11_qa_0 ,meco_para_11,0,bir,1,3,False,0.28191489361702127,NR,
18,kurulustur._0,,0,meco_para_11_qa_0 ,meco_para_11,0,kurulustur.,1,11,False,0.28191489361702127,NR,
19,Veri_0,,0,,meco_para_11,0,Veri,2,4,False,0.28191489361702127,NR,
20,toplama_0,,0,,meco_para_11,0,toplama,2,7,False,0.28191489361702127,NR,
21,ve_2,,0,,meco_para_11,0,ve,2,2,False,0.28191489361702127,NR,
22,"analiz,_0",78.0,1,,meco_para_11,1,"analiz,",2,7,False,0.28191489361702127,NR,1.0
23,"arastirma,_0",,0,,meco_para_11,0,"arastirma,",2,10,False,0.28191489361702127,NR,
24,saha__0,,0,,meco_para_11,0,saha,2,4,False,0.28191489361702127,NR,
25,"projeleri,_0",,0,,meco_para_11,0,"projeleri,",2,10,False,0.28191489361702127,NR,
26,savunma_0,,0,,meco_para_11,0,savunma,2,7,False,0.28191489361702127,NR,
27,ve_3,,0,,meco_para_11,0,ve,2,2,False,0.28191489361702127,NR,
28,egitim_0,,0,,meco_para_11,0,egitim,2,6,False,0.28191489361702127,NR,
29,alanlarinda_0,,0,,meco_para_11,0,alanlarinda,2,11,False,0.28191489361702127,NR,
30,faaliyet_0,,0,,meco_para_11,0,faaliyet,2,8,False,0.28191489361702127,NR,
31,gostermektedir._0,,0,meco_para_11_qa_2 ,meco_para_11,0,gostermektedir.,2,15,False,0.28191489361702127,NR,
32,Misyonu_0,,0,meco_para_11_qa_2 ,meco_para_11,0,Misyonu,3,7,False,0.28191489361702127,NR,
33, dtinyadaki_0,,0,meco_para_11_qa_2 ,meco_para_11,0, dtinyadaki,3,11,False,0.28191489361702127,NR,
34,toplumlari_0,138.0,1,meco_para_11_qa_2 ,meco_para_11,1,toplumlari,3,10,False,0.28191489361702127,NR,0.09815078236130868
35,dogayi_0,51.0,1,meco_para_11_qa_2 ,meco_para_11,1,dogayi,3,6,False,0.28191489361702127,NR,0.03627311522048364
36,korumak_0,,0,meco_para_11_qa_2 ,meco_para_11,0,korumak,3,7,False,0.28191489361702127,NR,
37,icin_0,88.0,1,meco_para_11_qa_2 ,meco_para_11,1,icin,3,4,False,0.28191489361702127,NR,0.06258890469416785
38,"etkilemek,_0",,0,meco_para_11_qa_2 ,meco_para_11,0,"etkilemek,",3,10,False,0.28191489361702127,NR,
39,tesvik_0,,0,meco_para_11_qa_2 ,meco_para_11,0,tesvik,3,6,False,0.28191489361702127,NR,
40,etmek_0,,0,meco_para_11_qa_2 ,meco_para_11,0,etmek,3,5,False,0.28191489361702127,NR,
41,ve_4,,0,meco_para_11_qa_2 ,meco_para_11,0,ve,3,2,False,0.28191489361702127,NR,
42,yardimci_0,142.0,1,meco_para_11_qa_2 ,meco_para_11,1,yardimci,3,8,False,0.28191489361702127,NR,0.10099573257467995
43,olmak_0,,0,meco_para_11_qa_2 ,meco_para_11,0,olmak,3,5,False,0.28191489361702127,NR,
44,ve_5,,0,meco_para_11_qa_2 ,meco_para_11,0,ve,3,2,False,0.28191489361702127,NR,
45,dogal_1,,0,meco_para_11_qa_2 ,meco_para_11,0,dogal,3,5,False,0.28191489361702127,NR,
46,kaynak_0,,0,meco_para_11_qa_2 ,meco_para_11,0,kaynak,3,6,False,0.28191489361702127,NR,
47,kullaniminin§_0,,0,meco_para_11_qa_2 ,meco_para_11,0,kullaniminin§,3,13,False,0.28191489361702127,NR,
48,adil_0,,0,meco_para_11_qa_2 ,meco_para_11,0,adil,3,4,False,0.28191489361702127,NR,
49,ve_6,96.0,1,meco_para_11_qa_2 ,meco_para_11,1,ve,3,2,False,0.28191489361702127,NR,0.06827880512091039
50, ekolojik_0,54.0,1,meco_para_11_qa_2 ,meco_para_11,1, ekolojik,3,9,False,0.28191489361702127,NR,0.03840682788051209
51,olarak_0,,0,meco_para_11_qa_2 ,meco_para_11,0,olarak,3,6,False,0.28191489361702127,NR,
