word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,65.0,1,[46],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,144.0,2,"[375, 376]",,meco_para_7
 duyumsal_0,254.0,3,"[9, 125, 211]",,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,67.0,1,[121],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,136.0,2,"[47, 282]",,meco_para_7
Uretimi_0,112.0,1,[48],,meco_para_7
kadar_0,418.0,5,"[123, 155, 156, 181, 306]",,meco_para_7
"antikken,_0",249.0,4,"[21, 122, 157, 264]",,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,133.0,1,[146],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,411.0,5,"[266, 283, 284, 285, 485]",,meco_para_7
 glnUmUuze_0,643.0,9,"[22, 23, 24, 124, 265, 305, 308, 329, 394]",,meco_para_7
yavasca__0,362.0,5,"[20, 182, 183, 307, 421]",,meco_para_7
olusmaktadir._0,201.0,3,"[13, 141, 158]",,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,141.0,2,"[62, 109]",,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,106.0,1,[490],meco_para_7_qa_1 ,meco_para_7
algilanan_0,202.0,3,"[166, 303, 395]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,61.0,1,[18],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",808.0,8,"[19, 30, 31, 51, 152, 153, 185, 309]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,453.0,7,"[12, 57, 140, 148, 149, 150, 263]",meco_para_7_qa_1 ,meco_para_7
ve_1,528.0,6,"[2, 6, 32, 167, 194, 195]",meco_para_7_qa_1 ,meco_para_7
 genel__0,531.0,6,"[63, 89, 100, 103, 129, 170]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,432.0,5,"[34, 38, 86, 90, 135]",meco_para_7_qa_1 ,meco_para_7
tarif_0,142.0,2,"[85, 120]",meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,285.0,2,"[267, 491]",meco_para_7_qa_1 ,meco_para_7
stirekli_0,429.0,5,"[268, 330, 455, 462, 488]",meco_para_7_qa_1 ,meco_para_7
olarak_1,579.0,6,"[29, 154, 301, 302, 377, 484]",meco_para_7_qa_1 ,meco_para_7
gelisen_0,1039.0,9,"[26, 50, 138, 184, 213, 310, 346, 378, 422]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,1540.0,17,"[3, 11, 33, 49, 52, 127, 137, 139, 147, 151, 161, 163, 169, 186, 189, 190, 212]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1755.0,17,"[1, 56, 59, 61, 64, 65, 67, 99, 104, 110, 112, 128, 131, 165, 193, 215, 217]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,752.0,9,"[36, 39, 87, 88, 101, 105, 130, 176, 204]",meco_para_7_qa_1 ,meco_para_7
Son_0,117.0,1,[114],meco_para_7_qa_1 ,meco_para_7
yillarda_0,142.0,2,"[40, 117]",meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,110.0,2,"[239, 487]",meco_para_7_qa_0 ,meco_para_7
hem_1,272.0,4,"[419, 420, 456, 457]",meco_para_7_qa_0 ,meco_para_7
de__0,200.0,3,"[28, 269, 396]",meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,638.0,9,"[27, 162, 270, 313, 345, 347, 352, 397, 470]",meco_para_7_qa_0 ,meco_para_7
sarap_4,625.0,7,"[25, 98, 164, 187, 188, 314, 353]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,654.0,8,"[5, 10, 54, 159, 160, 191, 192, 216]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,801.0,9,"[55, 66, 102, 111, 113, 133, 136, 145, 175]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,833.0,8,"[35, 37, 72, 91, 115, 119, 207, 262]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,194.0,2,"[116, 208]",,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,57.0,1,[240],,meco_para_7
"Ornegin,_0",134.0,2,"[238, 461]",,meco_para_7
arastirmalar_0,379.0,5,"[237, 344, 348, 463, 492]",,meco_para_7
insanlarin_0,862.0,10,"[58, 97, 274, 315, 349, 350, 351, 423, 434, 464]",,meco_para_7
daha_1,260.0,2,"[53, 317]",,meco_para_7
pahali_0,387.0,5,"[96, 134, 214, 220, 221]",,meco_para_7
sarabin_2,877.0,10,"[0, 143, 144, 171, 173, 174, 203, 260, 261, 319]",,meco_para_7
daha_2,561.0,7,"[71, 92, 196, 198, 199, 205, 374]",,meco_para_7
ucuz_0,259.0,3,"[73, 106, 107]",,meco_para_7
saraba__0,72.0,1,[179],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,156.0,2,"[241, 460]",,meco_para_7
 arzulanan__0,142.0,2,"[331, 459]",,meco_para_7
karakteristige_0,1044.0,12,"[4, 235, 236, 311, 316, 332, 336, 341, 357, 433, 465, 493]",,meco_para_7
sahip_0,400.0,5,"[234, 271, 312, 337, 380]",,meco_para_7
olmasini_0,556.0,7,"[68, 95, 142, 168, 233, 275, 383]",,meco_para_7
beklediklerini_0,1174.0,10,"[70, 93, 94, 197, 256, 276, 278, 279, 387, 392]",,meco_para_7
gostermistir:_0,1000.0,11,"[41, 42, 74, 79, 108, 177, 178, 201, 206, 300, 325]",,meco_para_7
|_0,205.0,2,"[42, 75]",,meco_para_7
Tadimcilar_0,75.0,1,[75],,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,267.0,3,"[242, 418, 458]",,meco_para_7
gercek_0,78.0,1,[243],,meco_para_7
olmayan’_0,1106.0,12,"[245, 273, 335, 342, 343, 355, 398, 399, 435, 438, 466, 525]",,meco_para_7
bir_1,206.0,3,"[334, 358, 424]",,meco_para_7
 sekilde_0,268.0,3,"[289, 318, 333]",,meco_para_7
 pahali_0,967.0,12,"[69, 172, 222, 254, 255, 277, 292, 320, 382, 440, 441, 444]",,meco_para_7
oldugu_0,536.0,5,"[280, 281, 299, 388, 480]",,meco_para_7
"soylendiginde,_0",1104.0,14,"[84, 200, 225, 232, 322, 326, 327, 366, 370, 371, 373, 393, 414, 483]",,meco_para_7
neredeyse_0,131.0,2,"[76, 417]",,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,nan,0,[],,meco_para_7
ayni_0,nan,0,[],,meco_para_7
sarap_5,111.0,1,[494],,meco_para_7
onlara__0,232.0,2,"[244, 400]",,meco_para_7
ucuz_1,768.0,8,"[246, 259, 286, 356, 505, 510, 519, 524]",,meco_para_7
oldugu_sdylendiginden_0,2823.0,28,"[219, 223, 248, 272, 290, 291, 293, 338, 339, 340, 354, 359, 360, 361, 384, 386, 412, 429, 431, 437, 439, 442, 443, 499, 500, 503, 504, 516]",,meco_para_7
daha__0,809.0,7,"[321, 364, 389, 413, 452, 453, 501]",,meco_para_7
lezzetli_0,397.0,5,"[228, 231, 257, 367, 428]",,meco_para_7
oldugunu_0,58.0,1,[258],,meco_para_7
belirttiler._0,nan,0,[],,meco_para_7
Baska_0,nan,0,[],,meco_para_7
calismalar_0,nan,0,[],,meco_para_7
gosteriyor_0,200.0,2,"[288, 508]",,meco_para_7
ki_0,530.0,4,"[506, 509, 513, 518]",,meco_para_7
tadimcilarin”_0,1368.0,12,"[402, 403, 404, 473, 478, 496, 497, 498, 514, 515, 523, 526]",,meco_para_7
kararlari_0,666.0,9,"[252, 362, 385, 411, 425, 426, 445, 447, 477]",,meco_para_7
cografi_0,551.0,5,"[227, 298, 372, 449, 479]",,meco_para_7
"kéken,_0",415.0,5,"[226, 229, 230, 390, 415]",,meco_para_7
itibar_0,450.0,4,"[324, 369, 416, 454]",,meco_para_7
veya_0,nan,0,[],,meco_para_7
diger_0,nan,0,[],,meco_para_7
etkenlerin_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
etki_0,64.0,1,[507],meco_para_7_qa_2 ,meco_para_7
=_0,317.0,3,"[472, 520, 522]",meco_para_7_qa_2 ,meco_para_7
altinda___0,944.0,10,"[247, 249, 471, 472, 495, 511, 517, 520, 522, 528]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,675.0,5,"[250, 405, 436, 476, 527]",meco_para_7_qa_2 ,meco_para_7
Objektif_0,415.0,5,"[251, 363, 410, 448, 450]",meco_para_7_qa_2 ,meco_para_7
sarap_6,670.0,6,"[391, 408, 409, 427, 451, 481]",meco_para_7_qa_2 ,meco_para_7
tadimi_1,226.0,2,"[323, 368]",meco_para_7_qa_2 ,meco_para_7
bu_0,159.0,2,"[77, 502]",meco_para_7_qa_2 ,meco_para_7
yuzen_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
—_1,nan,0,[],meco_para_7_qa_2 ,meco_para_7
sarabin_3,nan,0,[],meco_para_7_qa_2 ,meco_para_7
kor_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
tadimini_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
gerektirir-_0,101.0,1,[531],meco_para_7_qa_2 ,meco_para_7
