,word_id_orig,TRT,FixCount,Span_word_is_in,text_id,countFix,word_id,sentence_id,word_length,correct_answer,target_to_fixation_ratio,task_type,relFix
0,Sarap_0,,0,,meco_para_7,0,Sarap,1,5,True,0.12264150943396226,NR,
1,"tadimi,_0",130.0,1,,meco_para_7,1,"tadimi,",1,7,True,0.12264150943396226,NR,0.08414239482200647
2,sarabin_0,681.0,7,,meco_para_7,7,sarabin,1,7,True,0.12264150943396226,NR,0.4407766990291262
3, duyumsal_0,287.0,3,,meco_para_7,3, duyumsal,1,9,True,0.12264150943396226,NR,0.18576051779935276
4,olarak_0,256.0,3,,meco_para_7,3,olarak,1,6,True,0.12264150943396226,NR,0.1656957928802589
5,incelenmesi_0,,0,,meco_para_7,0,incelenmesi,1,11,True,0.12264150943396226,NR,
6,ve_0,,0,,meco_para_7,0,ve,1,2,True,0.12264150943396226,NR,
7,degerlendirilmesidir._0,191.0,2,,meco_para_7,2,degerlendirilmesidir.,1,21,True,0.12264150943396226,NR,0.12362459546925567
8,Sarap_1,,0,,meco_para_7,0,Sarap,2,5,True,0.12264150943396226,NR,
9,tadim_0,,0,,meco_para_7,0,tadim,2,5,True,0.12264150943396226,NR,
10,pratigi_0,164.0,2,,meco_para_7,2,pratigi,2,7,True,0.12264150943396226,NR,0.04381512156024579
11,sarap_2,,0,,meco_para_7,0,sarap,2,5,True,0.12264150943396226,NR,
12,Uretimi_0,247.0,2,,meco_para_7,2,Uretimi,2,7,True,0.12264150943396226,NR,0.06598984771573604
13,kadar_0,802.0,7,,meco_para_7,7,kadar,2,5,True,0.12264150943396226,NR,0.21426663104461663
14,"antikken,_0",55.0,1,,meco_para_7,1,"antikken,",2,9,True,0.12264150943396226,NR,0.014694095645204382
15,daha_0,209.0,3,,meco_para_7,3,daha,2,4,True,0.12264150943396226,NR,0.05583756345177665
16,bicimsel_0,85.0,1,,meco_para_7,1,bicimsel,2,8,True,0.12264150943396226,NR,0.022709056906224954
17,bir_0,271.0,3,,meco_para_7,3,bir,2,3,True,0.12264150943396226,NR,0.0724018167245525
18,metodoloji_0,66.0,1,,meco_para_7,1,metodoloji,2,10,True,0.12264150943396226,NR,0.017632914774245258
19,orta_0,77.0,1,,meco_para_7,1,orta,2,4,True,0.12264150943396226,NR,0.020571733903286135
20, caglarin_0,,0,,meco_para_7,0, caglarin,2,9,True,0.12264150943396226,NR,
21,sonlarindan_0,529.0,5,,meco_para_7,5,sonlarindan,2,11,True,0.12264150943396226,NR,0.14133048356932942
22, glnUmUuze_0,373.0,3,,meco_para_7,3, glnUmUuze,2,10,True,0.12264150943396226,NR,0.09965268501202244
23,yavasca__0,560.0,6,,meco_para_7,6,yavasca,2,7,True,0.12264150943396226,NR,0.14961261020571734
