word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",nan,0,[],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,nan,0,[],,meco_para_7
olarak_0,nan,0,[],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,nan,0,[],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,nan,0,[],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",77.0,1,[66],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,nan,0,[],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,nan,0,[],,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,nan,0,[],,meco_para_7
"Modern,_0",nan,0,[],,meco_para_7
profesyonel_0,nan,0,[],,meco_para_7
sarap_3,nan,0,[],,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",nan,0,[],meco_para_7_qa_1 ,meco_para_7
aromasini_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
ve_1,67.0,1,[113],meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,97.0,1,[112],meco_para_7_qa_1 ,meco_para_7
tarif_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
etmek_0,81.0,1,[111],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
olarak_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
gelisen_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,67.0,1,[21],meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,75.0,1,[22],meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
Son_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
hem_1,nan,0,[],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,57.0,1,[50],meco_para_7_qa_0 ,meco_para_7
sarap_4,212.0,3,"[49, 65, 67]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,57.0,1,[23],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
zorlayan_0,514.0,4,"[37, 39, 40, 41]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,nan,0,[],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",nan,0,[],,meco_para_7
arastirmalar_0,nan,0,[],,meco_para_7
insanlarin_0,228.0,3,"[62, 69, 132]",,meco_para_7
daha_1,652.0,5,"[63, 135, 174, 176, 208]",,meco_para_7
pahali_0,673.0,7,"[24, 129, 130, 131, 175, 177, 209]",,meco_para_7
sarabin_2,55.0,1,[31],,meco_para_7
daha_2,310.0,3,"[30, 32, 211]",,meco_para_7
ucuz_0,223.0,3,"[29, 38, 605]",,meco_para_7
saraba__0,72.0,1,[599],,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,nan,0,[],,meco_para_7
 arzulanan__0,327.0,4,"[51, 103, 105, 106]",,meco_para_7
karakteristige_0,640.0,6,"[16, 61, 108, 114, 133, 180]",,meco_para_7
sahip_0,1091.0,13,"[17, 20, 64, 81, 110, 128, 134, 161, 166, 170, 178, 240, 241]",,meco_para_7
olmasini_0,2127.0,20,"[18, 25, 35, 36, 42, 44, 136, 162, 169, 171, 172, 179, 197, 201, 202, 207, 214, 234, 242, 243]",,meco_para_7
beklediklerini_0,1245.0,14,"[28, 33, 200, 205, 206, 210, 215, 230, 231, 232, 233, 271, 601, 602]",,meco_para_7
gostermistir:_0,308.0,3,"[597, 598, 600]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,nan,0,[],,meco_para_7
 sarabin_0,136.0,1,[76],,meco_para_7
gercek_0,290.0,4,"[53, 101, 104, 140]",,meco_para_7
olmayan’_0,584.0,5,"[60, 75, 102, 139, 181]",,meco_para_7
bir_1,1045.0,9,"[19, 109, 138, 151, 155, 160, 165, 237, 278]",,meco_para_7
 sekilde_0,2010.0,19,"[1, 15, 43, 68, 127, 137, 158, 167, 168, 173, 191, 195, 204, 235, 236, 245, 279, 285, 314]",,meco_para_7
 pahali_0,2261.0,19,"[2, 13, 27, 34, 163, 194, 196, 203, 227, 228, 229, 244, 265, 284, 286, 287, 288, 313, 315]",,meco_para_7
oldugu_0,1012.0,11,"[45, 199, 212, 226, 262, 267, 269, 270, 272, 596, 603]",,meco_para_7
"soylendiginde,_0",293.0,3,"[55, 198, 266]",,meco_para_7
neredeyse_0,208.0,2,"[476, 478]",,meco_para_7
her_0,127.0,2,"[477, 604]",,meco_para_7
zaman_0,156.0,2,"[100, 142]",,meco_para_7
ayni_0,137.0,2,"[77, 218]",,meco_para_7
sarap_5,464.0,5,"[115, 141, 219, 221, 255]",,meco_para_7
onlara__0,762.0,6,"[52, 74, 123, 152, 156, 222]",,meco_para_7
ucuz_1,845.0,10,"[124, 126, 143, 153, 157, 159, 187, 239, 256, 327]",,meco_para_7
oldugu_sdylendiginden_0,4678.0,48,"[3, 12, 14, 26, 46, 47, 54, 125, 144, 145, 146, 147, 148, 149, 154, 164, 190, 225, 247, 248, 249, 258, 259, 261, 263, 264, 274, 275, 276, 277, 280, 281, 283, 289, 290, 291, 306, 307, 308, 311, 312, 316, 317, 318, 319, 329, 330, 560]",,meco_para_7
daha__0,102.0,1,[193],,meco_para_7
lezzetli_0,nan,0,[],,meco_para_7
oldugunu_0,59.0,1,[58],,meco_para_7
belirttiler._0,199.0,2,"[57, 479]",,meco_para_7
Baska_0,70.0,1,[184],,meco_para_7
calismalar_0,787.0,8,"[78, 80, 93, 96, 97, 99, 118, 220]",,meco_para_7
gosteriyor_0,1072.0,11,"[95, 98, 116, 121, 122, 186, 217, 253, 254, 563, 565]",,meco_para_7
ki_0,446.0,3,"[120, 223, 555]",,meco_para_7
tadimcilarin”_0,2932.0,32,"[0, 6, 7, 8, 9, 182, 188, 189, 224, 238, 257, 304, 305, 320, 321, 323, 325, 351, 354, 357, 358, 364, 366, 557, 558, 559, 561, 562, 566, 567, 568, 574]",,meco_para_7
kararlari_0,1749.0,15,"[11, 70, 292, 299, 310, 324, 355, 356, 359, 363, 367, 447, 571, 572, 573]",,meco_para_7
cografi_0,513.0,5,"[192, 260, 368, 448, 569]",,meco_para_7
"kéken,_0",133.0,2,"[547, 548]",,meco_para_7
itibar_0,144.0,2,"[545, 546]",,meco_para_7
veya_0,225.0,3,"[475, 480, 492]",,meco_para_7
diger_0,217.0,3,"[474, 481, 580]",,meco_para_7
etkenlerin_0,366.0,3,"[83, 84, 185]",meco_para_7_qa_2 ,meco_para_7
 bilinmesiyle_0,623.0,6,"[73, 79, 82, 92, 94, 119]",meco_para_7_qa_2 ,meco_para_7
etki_0,262.0,3,"[183, 336, 564]",meco_para_7_qa_2 ,meco_para_7
=_0,nan,0,[],meco_para_7_qa_2 ,meco_para_7
altinda___0,681.0,7,"[72, 328, 334, 335, 345, 346, 352]",meco_para_7_qa_2 ,meco_para_7
kalabiliyor._0,1844.0,19,"[5, 71, 250, 297, 301, 303, 309, 331, 347, 348, 349, 350, 353, 360, 362, 369, 449, 556, 577]",meco_para_7_qa_2 ,meco_para_7
