word_id,TRT,FixCount,Scan_path,Span_word_is_in,text_id
Sarap_0,nan,0,[],,meco_para_7
"tadimi,_0",80.0,1,[7],,meco_para_7
sarabin_0,nan,0,[],,meco_para_7
 duyumsal_0,65.0,1,[24],,meco_para_7
olarak_0,95.0,1,[23],,meco_para_7
incelenmesi_0,nan,0,[],,meco_para_7
ve_0,nan,0,[],,meco_para_7
degerlendirilmesidir._0,88.0,1,[77],,meco_para_7
Sarap_1,nan,0,[],,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,nan,0,[],,meco_para_7
sarap_2,nan,0,[],,meco_para_7
Uretimi_0,58.0,1,[6],,meco_para_7
kadar_0,nan,0,[],,meco_para_7
"antikken,_0",58.0,1,[72],,meco_para_7
daha_0,nan,0,[],,meco_para_7
bicimsel_0,59.0,1,[22],,meco_para_7
bir_0,nan,0,[],,meco_para_7
metodoloji_0,210.0,3,"[30, 32, 33]",,meco_para_7
orta_0,52.0,1,[34],,meco_para_7
 caglarin_0,nan,0,[],,meco_para_7
sonlarindan_0,60.0,1,[9],,meco_para_7
 glnUmUuze_0,nan,0,[],,meco_para_7
yavasca__0,nan,0,[],,meco_para_7
olusmaktadir._0,210.0,3,"[27, 158, 159]",,meco_para_7
"Modern,_0",204.0,2,"[21, 157]",,meco_para_7
profesyonel_0,603.0,6,"[20, 31, 36, 114, 115, 166]",,meco_para_7
sarap_3,145.0,2,"[37, 167]",,meco_para_7
—_0,nan,0,[],,meco_para_7
tadimcilari_0,nan,0,[],,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,143.0,1,[10],meco_para_7_qa_1 ,meco_para_7
lezzet_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",117.0,2,"[5, 63]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,66.0,1,[156],meco_para_7_qa_1 ,meco_para_7
ve_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
 genel__0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,136.0,2,"[113, 116]",meco_para_7_qa_1 ,meco_para_7
tarif_0,59.0,1,[35],meco_para_7_qa_1 ,meco_para_7
etmek_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
icin_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,143.0,2,"[94, 135]",meco_para_7_qa_1 ,meco_para_7
olarak_1,131.0,1,[65],meco_para_7_qa_1 ,meco_para_7
gelisen_0,142.0,2,"[62, 70]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,293.0,3,"[69, 134, 155]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,56.0,1,[160],meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,157.0,2,"[117, 168]",meco_para_7_qa_1 ,meco_para_7
Son_0,104.0,2,"[38, 79]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
hem_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,62.0,1,[136],meco_para_7_qa_0 ,meco_para_7
hem_1,58.0,1,[11],meco_para_7_qa_0 ,meco_para_7
de__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,519.0,6,"[58, 59, 64, 67, 68, 343]",meco_para_7_qa_0 ,meco_para_7
sarap_4,169.0,2,"[107, 154]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,nan,0,[],meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,308.0,5,"[19, 161, 212, 213, 214]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,72.0,1,[41],meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,57.0,1,[39],,meco_para_7
 ortaya_0,nan,0,[],,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",nan,0,[],,meco_para_7
arastirmalar_0,475.0,4,"[12, 51, 66, 93]",,meco_para_7
insanlarin_0,409.0,4,"[60, 106, 208, 284]",,meco_para_7
daha_1,150.0,2,"[105, 209]",,meco_para_7
pahali_0,219.0,2,"[109, 210]",,meco_para_7
sarabin_2,352.0,4,"[2, 110, 111, 211]",,meco_para_7
daha_2,149.0,2,"[165, 169]",,meco_para_7
ucuz_0,93.0,1,[80],,meco_para_7
saraba__0,305.0,3,"[40, 42, 82]",,meco_para_7
gore_0,nan,0,[],,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,78.0,1,[53],,meco_para_7
 arzulanan__0,937.0,6,"[56, 57, 96, 97, 200, 313]",,meco_para_7
karakteristige_0,288.0,4,"[13, 91, 153, 344]",,meco_para_7
sahip_0,196.0,2,"[4, 292]",,meco_para_7
olmasini_0,248.0,3,"[3, 18, 108]",,meco_para_7
beklediklerini_0,401.0,5,"[48, 49, 118, 170, 341]",,meco_para_7
gostermistir:_0,412.0,5,"[43, 45, 81, 83, 133]",,meco_para_7
|_0,nan,0,[],,meco_para_7
Tadimcilar_0,nan,0,[],,meco_para_7
verilen_0,102.0,1,[141],,meco_para_7
 sarabin_0,56.0,1,[54],,meco_para_7
gercek_0,306.0,3,"[98, 199, 314]",,meco_para_7
olmayan’_0,444.0,3,"[14, 101, 205]",,meco_para_7
bir_1,493.0,5,"[17, 145, 147, 207, 283]",,meco_para_7
 sekilde_0,503.0,5,"[90, 103, 121, 148, 293]",,meco_para_7
 pahali_0,273.0,4,"[104, 119, 162, 342]",,meco_para_7
oldugu_0,208.0,3,"[1, 125, 216]",,meco_para_7
"soylendiginde,_0",337.0,4,"[47, 126, 127, 164]",,meco_para_7
neredeyse_0,83.0,1,[44],,meco_para_7
her_0,nan,0,[],,meco_para_7
zaman_0,97.0,1,[140],,meco_para_7
ayni_0,57.0,1,[55],,meco_para_7
