word_id,TRT,FixCount,scanPath,Span_word_is_in,text_id
Sarap_0,107.0,2,"[109, 303]",,meco_para_7
"tadimi,_0",533.0,5,"[108, 111, 348, 349, 528]",,meco_para_7
sarabin_0,233.0,2,"[220, 262]",,meco_para_7
 duyumsal_0,729.0,10,"[76, 121, 122, 174, 352, 387, 395, 431, 478, 570]",,meco_para_7
olarak_0,788.0,9,"[74, 78, 124, 178, 228, 229, 271, 480, 614]",,meco_para_7
incelenmesi_0,603.0,6,"[44, 145, 273, 402, 409, 476]",,meco_para_7
ve_0,224.0,4,"[169, 182, 233, 365]",,meco_para_7
degerlendirilmesidir._0,502.0,6,"[49, 167, 257, 341, 362, 375]",,meco_para_7
Sarap_1,125.0,2,"[377, 519]",,meco_para_7
tadim_0,nan,0,[],,meco_para_7
pratigi_0,57.0,1,[429],,meco_para_7
sarap_2,408.0,4,"[107, 305, 350, 381]",,meco_para_7
Uretimi_0,162.0,3,"[67, 263, 527]",,meco_para_7
kadar_0,290.0,3,"[114, 173, 386]",,meco_para_7
"antikken,_0",886.0,9,"[70, 79, 116, 123, 265, 400, 490, 530, 534]",,meco_para_7
daha_0,535.0,8,"[226, 227, 230, 236, 272, 391, 477, 615]",,meco_para_7
bicimsel_0,648.0,8,"[120, 231, 235, 319, 367, 379, 403, 427]",,meco_para_7
bir_0,124.0,2,"[181, 369]",,meco_para_7
metodoloji_0,400.0,4,"[168, 334, 376, 470]",,meco_para_7
orta_0,nan,0,[],,meco_para_7
 caglarin_0,298.0,3,"[55, 518, 520]",,meco_para_7
sonlarindan_0,nan,0,[],,meco_para_7
 glnUmUuze_0,130.0,2,"[172, 260]",,meco_para_7
yavasca__0,413.0,6,"[267, 268, 308, 310, 396, 571]",,meco_para_7
olusmaktadir._0,1233.0,12,"[63, 71, 72, 73, 143, 177, 184, 397, 487, 489, 504, 572]",,meco_para_7
"Modern,_0",684.0,10,"[146, 183, 185, 232, 237, 284, 360, 363, 410, 616]",,meco_para_7
profesyonel_0,1325.0,16,"[51, 83, 89, 198, 199, 214, 245, 320, 333, 340, 374, 408, 424, 468, 469, 511]",,meco_para_7
sarap_3,682.0,7,"[52, 53, 86, 200, 292, 425, 557]",,meco_para_7
—_0,232.0,3,"[53, 342, 467]",,meco_para_7
tadimcilari_0,531.0,6,"[54, 140, 342, 343, 466, 467]",,meco_para_7
sarabin_1,nan,0,[],meco_para_7_qa_1 ,meco_para_7
algilanan_0,128.0,2,"[23, 261]",meco_para_7_qa_1 ,meco_para_7
lezzet_0,197.0,2,"[306, 307]",meco_para_7_qa_1 ,meco_para_7
" cesitlerini,_0",642.0,7,"[26, 106, 171, 264, 266, 309, 380]",meco_para_7_qa_1 ,meco_para_7
aromasini_0,830.0,10,"[41, 42, 80, 176, 318, 435, 486, 491, 503, 617]",meco_para_7_qa_1 ,meco_para_7
ve_1,226.0,3,"[125, 278, 359]",meco_para_7_qa_1 ,meco_para_7
 genel__0,453.0,5,"[119, 441, 447, 499, 505]",meco_para_7_qa_1 ,meco_para_7
karakteristigini_0,1735.0,22,"[50, 85, 88, 195, 196, 206, 215, 219, 244, 247, 293, 321, 324, 325, 405, 426, 457, 458, 496, 552, 553, 558]",meco_para_7_qa_1 ,meco_para_7
tarif_0,496.0,5,"[159, 166, 417, 471, 517]",meco_para_7_qa_1 ,meco_para_7
etmek_0,229.0,4,"[138, 299, 465, 521]",meco_para_7_qa_1 ,meco_para_7
icin_0,81.0,1,[253],meco_para_7_qa_1 ,meco_para_7
kullanilan_0,nan,0,[],meco_para_7_qa_1 ,meco_para_7
stirekli_0,68.0,1,[25],meco_para_7_qa_1 ,meco_para_7
olarak_1,148.0,1,[32],meco_para_7_qa_1 ,meco_para_7
gelisen_0,246.0,3,"[170, 389, 536]",meco_para_7_qa_1 ,meco_para_7
6zellesmis_—_0,1098.0,13,"[33, 37, 81, 130, 142, 175, 311, 399, 432, 533, 541, 545, 574]",meco_para_7_qa_1 ,meco_para_7
terminolojiyi_0,1886.0,21,"[38, 126, 127, 128, 131, 132, 225, 243, 277, 316, 442, 444, 488, 495, 544, 546, 549, 573, 582, 583, 624]",meco_para_7_qa_1 ,meco_para_7
kullanirlar._0,1424.0,17,"[87, 90, 197, 246, 322, 323, 332, 339, 406, 407, 416, 456, 459, 497, 551, 602, 612]",meco_para_7_qa_1 ,meco_para_7
Son_0,232.0,2,"[91, 512]",meco_para_7_qa_1 ,meco_para_7
yillarda_0,796.0,8,"[158, 165, 298, 326, 327, 335, 418, 419]",meco_para_7_qa_1 ,meco_para_7
hem_0,384.0,5,"[58, 254, 344, 345, 378]",meco_para_7_qa_1 ,meco_para_7
uzmanlarda_0,282.0,2,"[11, 20]",meco_para_7_qa_0 ,meco_para_7
hem_1,311.0,2,"[6, 19]",meco_para_7_qa_0 ,meco_para_7
de__0,190.0,1,[31],meco_para_7_qa_0 ,meco_para_7
tiketicilerde_0,332.0,5,"[5, 34, 36, 537, 569]",meco_para_7_qa_0 ,meco_para_7
sarap_4,628.0,8,"[279, 312, 390, 398, 526, 535, 540, 575]",meco_para_7_qa_0 ,meco_para_7
tadimi__0,1211.0,16,"[40, 82, 129, 224, 275, 281, 317, 433, 436, 448, 485, 494, 502, 531, 618, 623]",meco_para_7_qa_0 ,meco_para_7
guvenilirligini_0,1490.0,16,"[133, 222, 248, 276, 366, 415, 440, 443, 445, 446, 455, 506, 508, 550, 594, 632]",meco_para_7_qa_0 ,meco_para_7
zorlayan_0,1058.0,11,"[202, 205, 249, 289, 291, 329, 507, 510, 513, 561, 564]",meco_para_7_qa_0 ,meco_para_7
 sonuclar_0,762.0,10,"[62, 97, 160, 207, 250, 251, 294, 297, 336, 608]",,meco_para_7
 ortaya_0,206.0,3,"[164, 522, 523]",,meco_para_7
ciktl._0,nan,0,[],,meco_para_7
"Ornegin,_0",377.0,4,"[12, 21, 22, 24]",,meco_para_7
arastirmalar_0,93.0,1,[35],,meco_para_7
insanlarin_0,379.0,4,"[4, 28, 30, 643]",,meco_para_7
daha_1,499.0,7,"[2, 223, 280, 353, 434, 492, 532]",,meco_para_7
pahali_0,1157.0,12,"[117, 313, 315, 354, 484, 493, 501, 547, 578, 581, 584, 638]",,meco_para_7
sarabin_2,820.0,10,"[118, 186, 242, 282, 283, 287, 483, 500, 562, 633]",,meco_para_7
daha_2,471.0,7,"[238, 240, 286, 414, 420, 563, 601]",,meco_para_7
ucuz_0,392.0,6,"[203, 218, 239, 328, 472, 560]",,meco_para_7
saraba__0,474.0,5,"[162, 337, 338, 423, 607]",,meco_para_7
gore_0,228.0,4,"[84, 92, 98, 208]",,meco_para_7
daha_3,nan,0,[],,meco_para_7
fazla_0,247.0,3,"[7, 10, 17]",,meco_para_7
 arzulanan__0,191.0,2,"[13, 18]",,meco_para_7
